year,Base case diesel consumed,Modeled residential energy efficiency
2017,19085.5775989,14150.3527156
2018,19085.5775989,14150.3527156
2019,19085.5775989,14150.3527156
2020,19085.5775989,14150.3527156
2021,19085.5775989,14150.3527156
2022,20209.4916306,15274.2667473
2023,20209.4916306,15274.2667473
2024,20209.4916306,15274.2667473
2025,20209.4916306,15274.2667473
2026,20209.4916306,15274.2667473
2027,20209.4916306,15274.2667473
2028,20209.4916306,15274.2667473
2029,20209.4916306,15274.2667473
2030,21333.4056624,16398.180779
2031,21333.4056624,16398.180779
2032,21333.4056624,16398.180779
2033,21333.4056624,16398.180779
2034,21333.4056624,16398.180779
2035,21333.4056624,16398.180779
2036,21333.4056624,16398.180779
