year,Base case diesel consumed,Suryan lake (chip creek),"Akhiok (unnamed stream, site #2) -- unnamed creek, 2","Akhiok (unnamed stream, site #1) -- unnamed creek, 1",Fraser lake (dog salmon creek),Akhiok (kempff bay creek)
2021,15706.2046111,0.0,0.0,0.0,0.0,0.0
2022,15706.2046111,0.0,0.0,0.0,0.0,0.0
2023,15706.2046111,0.0,0.0,0.0,0.0,0.0
2024,15706.2046111,0.0,0.0,0.0,0.0,0.0
2025,15706.2046111,0.0,0.0,0.0,0.0,0.0
2026,15706.2046111,0.0,0.0,0.0,0.0,0.0
2027,15706.2046111,0.0,0.0,0.0,0.0,0.0
2028,15706.2046111,0.0,0.0,0.0,0.0,0.0
2029,15706.2046111,0.0,0.0,0.0,0.0,0.0
2030,15706.2046111,0.0,0.0,0.0,0.0,0.0
2031,15706.2046111,0.0,0.0,0.0,0.0,0.0
2032,15706.2046111,0.0,0.0,0.0,0.0,0.0
2033,15706.2046111,0.0,0.0,0.0,0.0,0.0
2034,15706.2046111,0.0,0.0,0.0,0.0,0.0
2035,15706.2046111,0.0,0.0,0.0,0.0,0.0
2036,15706.2046111,0.0,0.0,0.0,0.0,0.0
2037,15706.2046111,0.0,0.0,0.0,0.0,0.0
2038,15706.2046111,0.0,0.0,0.0,0.0,0.0
2039,15706.2046111,0.0,0.0,0.0,0.0,0.0
2040,15706.2046111,0.0,0.0,0.0,0.0,0.0
2041,15706.2046111,0.0,0.0,0.0,0.0,0.0
2042,15706.2046111,0.0,0.0,0.0,0.0,0.0
2043,15706.2046111,0.0,0.0,0.0,0.0,0.0
2044,15706.2046111,0.0,0.0,0.0,0.0,0.0
2045,15706.2046111,0.0,0.0,0.0,0.0,0.0
2046,15706.2046111,0.0,0.0,0.0,0.0,0.0
2047,15706.2046111,0.0,0.0,0.0,0.0,0.0
2048,15706.2046111,0.0,0.0,0.0,0.0,0.0
2049,15706.2046111,0.0,0.0,0.0,0.0,0.0
2050,15706.2046111,0.0,0.0,0.0,0.0,0.0
2051,15706.2046111,0.0,0.0,0.0,0.0,0.0
2052,15706.2046111,0.0,0.0,0.0,0.0,0.0
2053,15706.2046111,0.0,0.0,0.0,0.0,0.0
2054,15706.2046111,0.0,0.0,0.0,0.0,0.0
2055,15706.2046111,0.0,0.0,0.0,0.0,0.0
2056,15706.2046111,0.0,0.0,0.0,0.0,0.0
2057,15706.2046111,0.0,0.0,0.0,0.0,0.0
2058,15706.2046111,0.0,0.0,0.0,0.0,0.0
2059,15706.2046111,0.0,0.0,0.0,0.0,0.0
2060,15706.2046111,0.0,0.0,0.0,0.0,0.0
2061,15706.2046111,0.0,0.0,0.0,0.0,0.0
2062,15706.2046111,0.0,0.0,0.0,0.0,0.0
2063,15706.2046111,0.0,0.0,0.0,0.0,0.0
2064,15706.2046111,0.0,0.0,0.0,0.0,0.0
2065,15706.2046111,0.0,0.0,0.0,0.0,0.0
2066,15706.2046111,0.0,0.0,0.0,0.0,0.0
2067,15706.2046111,0.0,0.0,0.0,0.0,0.0
2068,15706.2046111,0.0,0.0,0.0,0.0,0.0
2069,15706.2046111,0.0,0.0,0.0,0.0,0.0
2070,15706.2046111,0.0,0.0,0.0,0.0,0.0
