year,Base case cost,Suryan lake (chip creek),"Akhiok (unnamed stream, site #2) -- unnamed creek, 2","Akhiok (unnamed stream, site #1) -- unnamed creek, 1",Fraser lake (dog salmon creek),Akhiok (kempff bay creek)
2021,49945.7306634,326665.972793,478493.81817,680524.338597,12929628.6382,414981.430491
2022,51516.3511245,319987.564786,468508.282908,666342.437844,12669962.0643,406433.4696
2023,52772.8474934,313479.341538,458798.672983,652553.027504,12416698.809,398110.803025
2024,53715.2197701,307137.676987,449359.6335,639148.504217,12169697.2205,390008.812862
2025,54814.6540929,300935.820888,440114.760262,626019.322443,11928279.6972,382080.59401
2026,56228.2125079,294862.578729,431035.221449,613124.190841,11692131.3912,374307.610632
2027,57327.6468306,288945.519089,422210.929752,600592.188842,11461839.4078,366742.089266
2028,58270.0191073,283173.607683,413613.289971,588382.361081,11237095.1585,359365.698129
2029,59683.5775223,277512.678326,405142.646206,576351.793831,11017053.8032,352117.808417
2030,60468.8877529,272013.740659,396960.428412,564732.173155,10802850.7763,345093.337415
2031,61882.4461679,266611.832187,388872.301351,553244.737778,10592928.0413,338175.319164
2032,63296.0045829,261334.899061,380968.735305,542019.35885,10387887.4534,331416.46105
2033,64709.5629979,256180.012121,373245.404551,531049.894318,10187614.5853,324813.032695
2034,66280.183459,251136.57459,365674.359991,520296.306211,9991817.93963,318347.259494
2035,67379.6177818,246232.738556,358346.376034,509888.897503,9801107.41654,312072.111107
2036,68950.2382429,241419.357782,351115.074551,499617.707397,9614297.91089,305899.322615
2037,69892.6105195,236747.922956,344142.595903,489715.430648,9432543.64901,299924.423935
2038,71463.2309807,232153.941369,337235.298618,479904.291054,9254304.94663,294031.047391
2039,72719.7273496,227681.290814,330531.780493,470383.202199,9080561.09774,288300.748367
2040,74447.4098568,223288.808255,323909.752824,460976.760939,8910316.39553,282659.708076
2041,74447.4098568,219082.380289,317697.786698,452156.448643,8745992.78474,277302.686242
2042,74447.4098568,214974.540475,311631.413524,443542.86241,8585520.50846,272071.219604
2043,74447.4098568,210962.978174,305707.220996,435131.15714,8428809.30182,266962.365487
2044,74447.4098568,207045.43685,299921.876709,426916.60118,8275771.0135,261973.25012
2045,74447.4098568,203219.712915,294272.12645,418894.573907,8126319.56063,257101.067162
2046,74447.4098568,199483.654379,288754.792205,411060.562888,7980370.87601,252343.075986
2047,74447.4098568,195835.159725,283366.770495,403410.161522,7837842.86403,247696.60024
2048,74447.4098568,192272.176665,278105.030545,395939.066437,7698655.35234,243159.02627
2049,74447.4098568,188792.700986,272966.612575,388643.075074,7562730.04667,238727.801647
2050,74447.4098568,185394.775543,267948.626312,381518.083559,7429990.49127,234400.433882
2051,74447.4098568,182076.488982,263048.249108,374560.084042,7300362.01938,230174.488804
2052,74447.4098568,178835.97476,258262.724493,367765.162634,7173771.71472,226047.589312
2053,74447.4098568,175671.410102,253589.360628,361129.497222,7050148.37079,222017.414042
2054,74447.4098568,172581.014902,249025.528689,354649.355162,6929422.44796,218081.695971
2055,74447.4098568,169563.05085,244568.661577,348321.091453,6811526.03934,214238.221305
2056,74447.4098568,166615.820333,240216.252292,342141.146431,6696392.82789,210484.82808
2057,74447.4098568,163737.665534,235965.852604,336106.043878,6583958.05124,206819.405013
2058,74447.4098568,160926.967478,231815.071643,330212.389016,6474158.46422,203239.890285
2059,74447.4098568,158182.145179,227761.574643,324456.866738,6366932.30589,199744.270462
2060,74447.4098568,155501.654635,223803.081453,318836.239475,6262219.25995,196330.579206
2061,74447.4098568,152883.98809,219937.365449,313347.345667,6159960.42608,192996.89634
2062,74447.4098568,150327.673105,216162.252165,307987.097811,6060098.28368,189741.346668
2063,74447.4098568,147831.271746,212475.618089,302752.480747,5962576.65994,186562.098932
2064,74447.4098568,145393.379816,208875.389531,297640.550068,5867340.70014,183457.364844
2065,74447.4098568,143012.62596,205359.541304,292648.430227,5774336.83245,180425.397938
2066,74447.4098568,140687.671014,201926.095758,287773.313178,5683512.74259,177464.492746
2067,74447.4098568,138417.207219,198573.12162,283012.456724,5594817.34309,174572.983793
2068,74447.4098568,136199.957401,195298.732786,278363.182806,5508200.74129,171749.244559
2069,74447.4098568,134034.674382,192101.08745,273822.876257,5423614.21633,168991.68672
2070,74447.4098568,131920.140189,188978.386934,269388.983155,5341010.18828,166298.759151
