year,Base case cost,Modeled residential energy efficiency
2017,41652.8293155,44927.6047051
2018,50931.8955387,52262.2887715
2019,63922.5882512,62727.2429978
2020,70108.6324,67483.9140106
2021,74438.8633041,70691.2523389
2022,82150.605756,77487.6352971
2023,84764.8087197,79295.0700703
2024,86725.4609425,80557.3136835
2025,89012.8885358,82106.4092095
2026,91953.8668699,84219.5587815
2027,94241.2944632,85786.854109
2028,96201.946686,87085.5075625
2029,99142.9250202,89225.0058142
2030,106391.492542,95877.8767014
2031,109489.729344,98191.1860431
2032,112587.966145,100512.481885
2033,115686.202947,102841.577039
2034,119128.688282,105473.184994
2035,121538.428016,107227.542102
2036,124980.913351,109873.851741
