year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,15706.2,5392.06,17975.69,19085.58
2018,15706.2,5393.07,17975.69,19085.58
2019,15706.2,5394.54,17975.69,19085.58
2020,15706.2,5396.13,17975.69,19085.58
2021,15706.2,5397.29,17975.69,19085.58
2022,15706.2,5399.0,17975.69,20209.49
2023,15706.2,5400.28,17975.69,20209.49
2024,15706.2,5401.86,17975.69,20209.49
2025,15706.2,5402.81,17975.69,20209.49
2026,15706.2,5403.82,17975.69,20209.49
2027,15706.2,5404.97,17975.69,20209.49
2028,15706.2,5406.02,17975.69,20209.49
2029,15706.2,5408.3,17975.69,20209.49
2030,15706.2,5410.24,17975.69,21333.41
2031,15706.2,5411.66,17975.69,21333.41
2032,15706.2,,,21333.41
2033,15706.2,,,21333.41
2034,15706.2,,,21333.41
2035,15706.2,,,21333.41
2036,15706.2,,,21333.41
