year,Base case diesel consumed,Modeled solar power (pv)
2016,139790.358664,137359.70593
2017,142189.587435,139778.379922
2018,144588.816206,142196.898353
2019,147058.610528,144685.828018
2020,149387.273747,147033.473497
2021,153127.248007,150792.278159
2022,155597.04233,153280.752241
2023,157855.139996,155557.380228
2024,160113.237663,157833.859972
2025,162371.335329,160110.19266
2026,164841.129652,162598.076124
2027,167240.358422,165015.249323
2028,170133.546057,167926.237831
2029,172603.34038,170413.69062
2030,175143.700255,172971.567693
2031,177613.494578,175458.739076
2032,180153.854452,178016.336995
2033,182411.952119,180291.534801
2034,184952.311994,182848.858014
2035,187986.630733,185900.004385
