year,Base case cost,Akiachak wind feasibility & conceptual design,Akiachak wind_ancec,Modeled wind power
2019,476469.898112,785259.594647,558434.290199,785259.594647
2020,512398.348952,809440.423094,561950.927091,809440.423094
2021,545133.002905,831884.74622,569787.457079,831884.74622
2022,569485.174926,846761.290319,573102.330785,846761.290319
2023,588799.672185,857410.729456,575235.361451,857410.729456
2024,606829.170741,867156.132502,577502.514496,867156.132502
2025,626753.35437,878747.670721,580646.877453,878747.670721
2026,649474.050828,893083.322592,585565.627092,893083.322592
2027,670633.837274,906227.4771,590328.632271,906227.4771
2028,692443.532454,920387.28202,597142.276196,920387.28202
2029,714577.829174,934808.27442,603245.086507,934808.27442
2030,733852.104068,946940.686361,609095.960303,946940.686361
2031,760185.756792,965423.785914,617314.665205,965423.785914
2032,785470.805413,983210.179764,625868.769531,983210.179764
2033,811733.186929,1001896.97347,634348.436954,1001896.97347
2034,839683.496451,1022404.36363,644676.332342,1022404.36363
2035,862858.635064,1039117.28364,655249.267033,1039117.28364
2036,894233.490829,1063092.51601,668095.208546,1063092.51601
2037,916477.164154,1079124.05029,678038.842784,1079124.05029
2038,946489.399108,1102193.66562,691033.163193,1102193.66562
