year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation diesel [kWh/year]
2003,,29952.45,1277812.0,1277812.0
2004,,29952.45,1446431.0,1446431.0
2005,,29952.45,1748743.0,1748743.0
2006,,29952.45,1835935.0,1835935.0
2007,,29952.45,1738817.0,1738817.0
2008,,29952.45,2811711.0,2811711.0
2009,,29952.45,1966326.0,1966326.0
2010,,29952.45,1901467.0,1901467.0
2011,,29952.45,1885185.0,1885185.0
2012,,29952.45,1963726.0,1963726.0
2013,,29952.45,1908909.0,1908909.0
2014,,29952.45,1871996.0,1871996.0
2015,,29952.45,1951908.0,1951908.0
2016,start of forecast,29952.45,1981000.0,1981000.0
2017,,29952.45,2015000.0,2015000.0
2018,,29952.45,2049000.0,2049000.0
2019,,29952.45,2084000.0,2084000.0
2020,,29952.45,2117000.0,2117000.0
2021,,29952.45,2170000.0,2170000.0
2022,,29952.45,2205000.0,2205000.0
2023,,29952.45,2237000.0,2237000.0
2024,,29952.45,2269000.0,2269000.0
2025,,29952.45,2301000.0,2301000.0
2026,,29952.45,2336000.0,2336000.0
2027,,29952.45,2370000.0,2370000.0
2028,,29952.45,2411000.0,2411000.0
2029,,29952.45,2446000.0,2446000.0
2030,,29952.45,2482000.0,2482000.0
2031,,29952.45,2517000.0,2517000.0
2032,,29952.45,2553000.0,2553000.0
2033,,29952.45,2585000.0,2585000.0
2034,,29952.45,2621000.0,2621000.0
2035,,29952.45,2664000.0,2664000.0
2036,,29952.45,2702000.0,2702000.0
2037,,29952.45,2740000.0,2740000.0
2038,,29952.45,2777000.0,2777000.0
2039,,29952.45,2819000.0,2819000.0
2040,,29952.45,2860000.0,2860000.0
