year,Base case cost,Modeled solar power (pv)
2016,296355.560369,314994.155222
2017,359739.656211,376926.09877
2018,407740.4617,423789.18679
2019,476469.898112,491094.789042
2020,512398.348952,526167.656722
2021,545133.002905,558204.58576
2022,569485.174926,581943.697379
2023,588799.672185,600727.822238
2024,606829.170741,618262.105582
2025,626753.35437,637680.191915
2026,649474.050828,659884.192674
2027,670633.837274,680561.467999
2028,692443.532454,701922.04649
2029,714577.829174,723596.052
2030,733852.104068,742464.314145
2031,760185.756792,768315.669215
2032,785470.805413,793150.857852
2033,811733.186929,818952.66231
2034,839683.496451,846452.996921
2035,862858.635064,869272.004444
