year,Base case diesel consumed,Akiachak wind feasibility & conceptual design,Akiachak wind_ancec,Modeled wind power
2019,147058.610528,122129.926026,4608.98479997,122129.926026
2020,149387.273747,124458.589244,6937.64801851,124458.589244
2021,153127.248007,128198.563504,10677.6222786,128198.563504
2022,155597.04233,130668.357827,13147.4166013,130668.357827
2023,157855.139996,132926.455494,15405.5142677,132926.455494
2024,160113.237663,135184.55316,17663.6119342,135184.55316
2025,162371.335329,137442.650827,19921.7096007,137442.650827
2026,164841.129652,139912.445149,22391.5039234,139912.445149
2027,167240.358422,142311.67392,24790.732694,142311.67392
2028,170133.546057,145204.861555,27683.9203291,145204.861555
2029,172603.34038,147674.655878,30153.7146518,147674.655878
2030,175143.700255,150215.015752,32694.0745266,150215.015752
2031,177613.494578,152684.810075,35163.8688493,152684.810075
2032,180153.854452,155225.16995,37704.2287241,155225.16995
2033,182411.952119,157483.267616,39962.3263905,157483.267616
2034,184952.311994,160023.627491,42502.6862653,160023.627491
2035,187986.630733,163057.94623,45537.0050046,163057.94623
2036,190668.121712,165739.437209,48218.4959835,165739.437209
2037,193349.612691,168420.928188,50899.9869624,168420.928188
2038,195960.538118,171031.853615,53510.9123893,171031.853615
