year,Base case diesel consumed,Modeled residential ashp
2017,12740.0469632,-32397.4829626
2018,13015.1153074,-32122.4146184
2019,13290.1836516,-31847.3462742
2020,13427.7178237,-31709.8121021
2021,13565.2519958,-31572.27793
2022,13702.7861679,-31434.7437579
2023,13702.7861679,-31434.7437579
2024,13702.7861679,-31434.7437579
2025,13840.32034,-31297.2095858
2026,13840.32034,-31297.2095858
2027,13977.8545121,-31159.6754137
2028,14115.3886842,-31022.1412416
2029,13702.7861679,-31434.7437579
2030,13427.7178237,-31709.8121021
2031,13290.1836516,-31847.3462742
