year,Base case diesel consumed,Modeled non-residential ashp
2017,24734.0392668,24734.0392668
2018,24734.0392668,24734.0392668
2019,24734.0392668,24734.0392668
2020,24734.0392668,24734.0392668
2021,24734.0392668,24734.0392668
2022,24734.0392668,24734.0392668
2023,24734.0392668,24734.0392668
2024,24734.0392668,24734.0392668
2025,24734.0392668,24734.0392668
2026,24734.0392668,24734.0392668
2027,24734.0392668,24734.0392668
2028,24734.0392668,24734.0392668
2029,26643.4081341,26643.4081341
2030,26643.4081341,26643.4081341
2031,26643.4081341,26643.4081341
