year,Base case cost,Modeled residential energy efficiency
2017,114321.977078,114737.705392
2018,120677.506142,120743.070941
2019,129622.324825,129195.066899
2020,134094.734167,133421.064878
2021,136919.413751,136090.116233
2022,139273.313404,138314.325696
2023,140921.043162,139871.27232
2024,142097.992988,140983.377051
2025,143745.722746,142540.323675
2026,145628.842469,144319.691245
2027,147276.572226,145876.637869
2028,148453.522053,146988.7426
2029,159559.104649,157990.573044
2030,160812.65,159179.2733
2031,162818.322562,161081.193709
2032,164823.995124,162983.114118
2033,167080.376756,165122.774578
2034,169336.758388,167262.435038
2035,170841.012809,168688.875345
2036,183147.088978,180878.230342
