year,Base case cost,"Chatham (chatham creek; 57.31', 134.57')",Thayer lake hydropower development (tlhd) generation -- thayer creek
2020,394226.380872,,1029013.7715
2021,413008.981449,1194164.75571,1020771.42173
2022,426165.088607,1190477.92962,1010400.85668
2023,436512.198673,1184579.51021,999159.715903
2024,445238.079706,1177535.30202,987451.400718
2025,454199.106234,1171079.9223,976348.13464
2026,466018.708724,1167601.97294,966914.130403
2027,476438.770555,1163175.05084,957208.627109
2028,485455.042109,1157787.00038,947219.10656
2029,496844.016704,1154866.78704,938388.166745
2030,502788.523158,1147269.31759,927542.395584
2031,515863.887586,1146543.12866,920271.951642
2032,528312.433449,1145602.97195,913463.283818
2033,542237.013084,1146318.13841,907661.352032
2034,556212.588128,1147370.00353,902209.221844
2035,565650.988343,1144503.50934,894837.541636
2036,579713.680544,1146193.96539,890049.294093
2037,587773.079916,1142600.28896,882637.135097
2038,603067.452889,1145935.08255,878855.340679
2039,614370.726867,1145872.34127,873673.6626
2040,630058.897718,1150102.49606,870810.232112
2041,631599.38402,1141559.66331,861804.957598
2042,633139.870322,1133253.15811,853046.849105
2043,634372.259364,1124869.34504,844222.017214
2044,635912.745667,1117019.00888,835940.99861
2045,637453.231969,1109388.77029,827890.171705
2046,638993.718272,1101973.47018,820064.140797
2047,640534.204574,1094768.07165,812457.637992
2048,642074.690877,1087767.65457,805065.517509
2049,643615.177179,1080967.41479,797882.754864
2050,645463.760742,1074670.75827,791212.540874
