year,Base case cost,Modeled non-residential energy efficiency
2017,465300.503731,460751.854565
2018,494930.246916,484559.01884
2019,537728.764851,519853.138919
2020,557481.926975,535168.827833
2021,571748.09962,545760.476301
2022,581624.680682,552580.534297
2023,589306.465952,557534.939961
2024,595890.853327,561576.190049
2025,602475.240701,565656.80427
2026,611254.423867,571682.788773
2027,618936.209138,576792.849464
2028,625520.596512,580986.106424
2029,634299.779679,587122.093645
2030,638689.371262,589479.185768
2031,648565.952324,596637.742622
