year,Base case cost,Modeled wind power
2019,368422.704103,655530.483168
2020,394226.380872,670573.504817
2021,413008.981449,679802.261338
2022,426165.088607,684398.971228
2023,436512.198673,686760.341815
2024,445238.079706,687861.954399
2025,454199.106234,689348.083866
2026,466018.708724,693421.629738
2027,476438.770555,696446.60162
2028,485455.042109,698415.410947
2029,496844.016704,702475.745922
2030,502788.523158,702058.341368
2031,515863.887586,707858.778398
2032,528312.433449,713367.434407
2033,542237.013084,720267.165967
2034,556212.588128,727338.554355
2035,565650.988343,730616.146295
2036,579713.680544,738007.556463
2037,587773.079916,740342.108689
2038,603067.452889,748978.799751
