year,Base case diesel consumed,Modeled non-residential ashp
2017,8840.18315305,8069.43585668
2018,8840.18315305,8069.43585668
2019,8840.18315305,8069.43585668
2020,8840.18315305,8069.43585668
2021,8840.18315305,8069.43585668
2022,8840.18315305,8069.43585668
2023,8840.18315305,8069.43585668
2024,8840.18315305,8069.43585668
2025,8840.18315305,8069.43585668
2026,8840.18315305,8069.43585668
2027,8840.18315305,8069.43585668
2028,8840.18315305,8069.43585668
2029,6930.81428572,6160.06698935
2030,6930.81428572,6160.06698935
2031,6930.81428572,6160.06698935
