year,Base case diesel consumed,Modeled residential ashp
2017,99406.9873159,13576.417334
2018,100555.961127,14725.3911446
2019,101704.934937,15874.3649553
2020,102853.908748,17023.3387659
2021,104002.882559,18172.3125766
2022,106300.83018,20470.2601979
2023,107449.803991,21619.2340086
2024,108598.777801,22768.2078192
2025,109747.751612,23917.1816299
2026,110896.725423,25066.1554405
2027,112045.699233,26215.1292512
2028,113194.673044,27364.1030619
2029,115492.620665,29662.0506832
2030,117790.568286,31959.9983045
2031,118939.542097,33108.9721151
