year,Base case cost,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58', 130.03' (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49', 133.01' near kupreanof)",Clover creek,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake hydroelectric project,Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2021,0.0,33492065.1985,594444.860415,169393.040791,247458.692945,8722220.53858,15041198.2392,5055021.93139,1950266.27099,522006.562525,6294071.57312,6929568.96144,10222643.9247,11161741.7358,944759.862556,4559203.74501,9138191.49348,541474.536501,1024775.40983,4482649.18791,3392450.87132,,4701654.17973,972708.219546,11483450.4131,1264931.74017,3683008.30562,46925945.6197,22338431.1283,444485.998312,32917548.6281,39488000.7195,3810099.02274,4778147.05779,2903300.92457,250789.328426,9925154.19398,1406682.67136,6578304.26594,6578430.86261
2022,0.0,32770271.4827,582726.347139,164529.425657,242349.397431,8534870.83294,14717508.0695,4950103.72643,1893728.76171,511570.851042,6162339.50361,6783660.844,9912782.21783,10921001.4285,924922.293525,4426314.93211,8945891.96429,530350.228385,1003439.77613,4388386.60788,3321644.20965,,4571634.9881,952442.604279,11241473.7253,1239643.92843,3605935.64546,45926133.6941,21858340.0249,435837.089459,32224787.4195,38647314.2231,3729835.21923,4662739.34797,2840254.47289,245506.716492,9711155.17247,1364738.75116,6439837.57373,6437217.91572
2023,0.0,32083299.6076,571333.467346,160166.599878,237437.501336,8356422.50558,14409331.7043,4849364.31376,1843101.8929,501459.956442,6036104.14854,6644038.73452,9637518.46908,10691917.2981,905926.975046,4307436.11397,8761851.68487,519642.989135,982968.996436,4298157.30756,3253747.8223,,4454184.10177,933001.651315,11009962.8816,1215143.18609,3532076.46184,44972033.3524,21401118.6752,427401.312253,31561793.9101,37844919.506,3653038.06182,4555627.31462,2780354.2358,240452.144375,9507502.18979,1327369.78606,6307326.13819,6302694.69088
2024,0.0,31411806.1147,560205.835607,155892.579522,232638.028019,8181999.74258,14108102.6027,4750926.18721,1793502.15999,491583.246437,5912743.6689,6507589.36193,9367755.80427,10467993.2361,887363.740946,4190964.7036,8581994.39033,509181.26499,962965.317097,4209979.3388,3187399.2701,,4339154.94263,914004.187605,10783711.3756,1191209.92132,3459899.43063,44039520.1496,20954209.525,419162.886152,30913868.8555,37060684.6332,3577985.7137,4450831.33666,2721799.89728,235512.414925,9308436.99318,1290751.77218,6177826.21891,6171206.83543
2025,0.0,30755428.2364,549337.23529,151705.283253,227948.342624,8011508.1966,13813657.9412,4654735.41142,1744905.48997,481935.23243,5792190.6861,6374238.36665,9103365.29424,10249108.3056,869222.464445,4076844.27848,8406222.04385,498959.301804,943417.790663,4123804.62446,3122562.27637,,4226490.75253,895439.819071,10562595.9437,1167830.83411,3389365.12714,43128088.1471,20517370.8867,411117.185828,30280659.0957,36294183.9917,3504637.28171,4348297.1326,2664559.91344,230684.836571,9113852.05851,1254867.10943,6051267.23484,6042683.20926
2026,0.0,30106222.9082,538699.987527,147438.737424,223332.960588,7842944.04916,13522478.7862,4560010.40376,1695344.83211,472476.549591,5673358.26235,6242698.27994,8832635.08928,10032595.4945,851333.337406,3960401.81344,8232848.55472,488905.215593,924161.108701,4038813.12658,3058671.29736,,4112100.7196,877150.183275,10344464.0959,1144910.54694,3319838.66877,42227800.7104,20085442.7071,403255.276601,29656084.6987,35537123.4939,3432280.84557,4245602.07759,2607896.27315,225922.60439,8921383.12078,1218176.21741,5926431.67189,5915621.73643
2027,0.0,29475227.3401,528320.575125,143336.868598,218838.736107,7679084.84023,13239449.7349,4467793.09056,1647712.53963,463252.970492,5557713.843,6114720.45938,8572821.13686,9822162.82418,833926.579476,3848510.38313,8064165.94792,479112.91539,905416.756432,3956118.62305,2996486.91018,,4001983.78687,859347.684835,10132246.4436,1122559.95882,3252177.02717,41352339.1315,19665580.5225,395579.373711,29048411.4122,34800914.8864,3361885.38175,4146248.82408,2552839.7013,221289.415947,8734316.52037,1182945.89931,5804975.09441,5792103.47198
2028,0.0,28862103.6809,518193.208435,139397.738394,214463.215297,7519842.70262,12964419.1475,4378033.24098,1601986.19293,454259.383516,5445194.67731,5990235.65269,8323803.36321,9617697.66435,816992.759422,3741117.44033,7900082.92022,469577.042264,887174.538318,3875676.33886,2935975.32979,,3896087.0946,842022.64358,9925828.18988,1100766.68328,3186343.48552,40501232.2213,19257559.2455,388085.169515,28457310.3325,34085161.7889,3293412.8058,4050186.81887,2499360.82055,216782.764539,8552552.1183,1149159.76392,5686831.76916,5672062.16201
2029,0.0,28255138.7952,508279.821538,135373.542205,210154.634571,7362264.30405,12692199.0465,4289588.43383,1555228.58482,445439.789487,5334207.777,5867353.95211,8068085.59407,9415266.6587,800282.78891,3631244.78137,7738124.77991,460192.965787,869192.57134,3796282.91654,2876308.38666,,3788305.94536,824943.288165,9722049.05302,1079395.04009,3121407.61425,39659855.9997,18853773.0164,380761.830654,27873857.6878,33377659.4329,3225817.94717,3953812.26967,2446370.132,212333.937535,8372603.23026,1114518.21473,5570214.62191,5553284.19996
2030,0.0,27676776.8536,498639.716333,131754.254557,206009.387898,7212000.88777,12432724.5841,4204597.49531,1513248.95811,436891.327789,5227756.7083,5749653.86362,7840311.13521,9222409.11445,784267.428933,3532696.06404,7582975.50079,451154.368927,851924.984106,3720214.91443,2819044.20999,,3690696.07585,808545.021971,9526895.89229,1058680.38333,3059123.54023,38856088.7274,18468779.2476,373618.501957,27314944.9312,32701665.1167,3161080.43913,3864185.80775,2395961.23645,208073.07345,8201152.13073,1083572.79701,5458506.72096,5440004.20534
