year,Base case cost,"Bradfield river, north -- bradfield river, north fork","Fish creek; 55.58', 130.03' (hyder) -- beaver falls creek",City creek (petersburg),Cascade creek (cascade/rosa),Anan creek (anan lake),Aaron (aaron creek),Bakewell arm (bakewell arm lake),"Anita and kunk lakes (petersburg) -- kunk lake, anita lake","Coho creek (56.49', 133.01' near kupreanof)",Clover creek,Short (short creek),Thomas bay (juneau) -- swan lake,Orchard creek,Perseverance lake (ward cove creek) -- perserverance lake,Scenery lake -- scenery creek,Shelokum lake,Margaret creek,Nadzaheen lake,Naha river,Olive lake (olive creek),Ruth lake hydroelectric project,Ruth lake -- delta creek,Crittenden creek,Eagle (eagle lake),Drake lake,Gokachin river,Farragut river (glory creek),Harding river,Grace lake (mahoney lake),Katate river,Houghton (unnamed stream),Connell lake -- connel lake,Mahoney lake,Sunrise lake,"Wrangell resevoir, lower (unnamed stream) -- unnamed creek",White river,Virginia lake,Tom creek,"Thomas lake (petersburg/ wrangell, thoms) -- thoms lake"
2031,0.0,27092553.6362,489170.265522,127800.335436,201877.088543,7060368.05722,12170734.8768,4119733.5469,1467280.49618,428456.216325,5121187.91215,5631604.06274,7588231.42817,9027550.05146,768218.262565,3424641.69149,7427393.47488,442158.070083,834666.503073,3643951.7418,2761765.80975,,3585049.03266,792151.876529,9331117.28187,1038240.42647,2996773.35241,38047000.1218,18080210.1911,366631.29205,26754458.0523,32021356.6903,3096140.88085,3770597.08559,2344924.34701,203799.043977,8027938.8918,1049457.47875,5346478.20982,5325713.76514
2032,0.0,26524928.2335,479931.026679,124001.844968,197854.238842,6913020.93593,11916171.7732,4037137.63305,1423133.43192,420231.820212,5017507.72591,5516786.1137,7346495.08129,8838233.75085,752606.467291,3320887.64205,7276066.70804,433397.988879,817871.707094,3569771.93431,2706032.80712,,3483422.88681,776199.682706,9140705.15057,1018311.07057,2936112.79912,37260489.252,17702633.1994,359809.535995,26209303.0291,31360008.9567,3032980.58745,3680108.96694,2295354.3618,199642.098329,7859650.21021,1016724.52907,5237515.05965,5214650.42471
2033,0.0,25966011.778,470895.2497,120193.120458,193905.747877,6767969.80088,11665540.6654,3956036.22901,1378844.31112,412179.594612,4915639.27809,5403923.65707,7103409.50681,8651811.26844,737263.747912,3216769.32006,7127323.75619,424803.101,801376.923283,3496862.63671,2651285.07806,,3381735.30606,760531.630933,8953525.42355,998798.925119,2876512.88777,36486695.0705,17330924.3271,353144.990132,25673452.6913,30709391.4146,2970893.74806,3590306.93655,2246517.98233,195555.833703,7693937.88503,983836.996978,5130410.30113,5105322.73637
2034,0.0,25419305.6165,462068.716595,116454.451094,190045.942871,6626094.27703,11420389.9836,3876750.22011,1335365.45791,404312.108133,4816038.70772,5293564.04919,6864663.52353,8469459.36325,722261.883099,3114550.10846,6981880.59846,416401.890442,785250.616779,3425571.55482,2597758.37597,,3281958.13172,745213.430587,8770494.58345,979734.440652,2818239.96104,35729930.1436,16967350.348,346636.126882,25149489.2716,30073099.4677,2910183.32089,3502331.95221,2198743.32991,191560.163992,7531844.6859,951541.861105,5025681.21068,4998389.53292
2035,0.0,24895906.7516,453478.934818,113030.106491,186322.112308,6490187.45499,11185631.1623,3800330.42251,1295593.19328,396676.037995,4720184.56573,5187470.90383,6647534.32951,8294905.98982,707832.76163,3021112.38163,6842045.4186,408289.214656,769716.077201,3357020.39079,2546219.25722,,3190099.66191,730459.199477,8594563.55862,961230.708369,2762157.48872,35003959.1537,16619106.6343,340285.923843,24645736.7266,29462615.0134,2851825.02256,3419695.61325,2153066.32857,187719.230398,7376674.67569,922108.825562,4924994.98608,4895943.59496
2036,0.0,24368974.9494,445045.487981,109344.689603,182617.036478,6353485.77165,10949379.0375,3724184.10047,1252706.57745,389148.139334,4624450.96675,5081334.96086,6411371.81391,8119136.80784,693408.867507,2920249.94033,6702176.46921,400228.71485,754223.710393,3288466.30467,2494784.36771,,3091992.33238,715742.189261,8418524.99491,942989.120998,2706147.76563,34275343.4445,16268772.9104,334075.356027,24141850.3496,28850035.6329,2793435.40418,3334062.4527,2106987.45753,183876.342114,7220437.61653,890195.958268,4824277.20402,4792916.01283
2037,0.0,23872386.8458,436860.934151,106134.369251,179076.83437,6224520.80685,10726630.7635,3651550.77209,1215433.43535,381877.304232,4533382.33506,4980567.10267,6208215.7054,7953530.91317,679702.21506,2832700.99247,6569356.56562,392514.252488,739461.058038,3223352.01543,2445811.93921,,3005752.66402,701721.53286,8251430.66546,925370.422751,2652864.84567,33586193.8169,15938325.4572,328020.82305,23663372.1285,28270494.1003,2738007.63085,3256054.89698,2063665.41126,180228.267838,7073219.27679,862640.78395,4728643.39914,4695699.97216
2038,0.0,23367931.9624,428812.667034,102577.911077,175535.013177,6093664.84316,10500467.1011,3578746.26061,1174038.374,374689.476517,4441823.48384,4879038.44669,5980041.58386,7785254.91964,665905.771878,2735334.46618,6435561.93393,384810.277222,724646.99059,3157776.76859,2396624.73712,,2911162.04342,687648.535163,8083029.44406,907952.897415,2599297.85866,32888925.8521,15602966.5844,322096.83846,23181367.3945,27684285.5214,2682151.7357,3173784.99418,2019540.9856,176552.14823,6923644.36704,831818.409786,4632298.78769,4597080.19893
2039,0.0,22885705.1845,420982.657495,99329.5859319,172121.328033,5968496.90896,10284210.9189,3508647.50906,1136278.28679,367716.737214,4353810.61758,4781555.04217,5773100.70238,7624417.68517,652651.946049,2646581.57424,6307083.63207,377377.718806,710392.122674,3094798.4157,2349317.19948,,2824321.27855,674108.585532,7921361.34392,891056.558323,2547804.04223,32220946.7155,15282218.9849,316317.754276,22718522.9254,27122618.2858,2628526.31698,3096692.25566,1977420.37165,173022.757625,6780672.7744,803805.777775,4539787.07173,4502736.05773
2040,0.0,22402685.9622,413301.726401,95896.1123778,168735.198602,5843215.85819,10067668.3644,3439029.99662,1096305.68271,360853.22644,4266233.11625,4684420.23766,5552544.90742,7463287.75334,639453.886741,2552549.01246,6179081.92141,370013.751852,696224.931931,3032064.0115,2302273.55925,,2733084.4531,660649.76606,7760243.66005,874424.919821,2496566.63,31553574.2907,14961141.2436,310667.076761,22257386.1533,26561558.8641,2575086.76872,3017629.80554,1935159.85044,169505.681029,6637451.38571,774023.378947,4447613.04096,4408319.89884
2041,0.0,21971747.6065,405916.874539,93423.6535407,165605.201751,5731138.89443,9874247.48423,3374959.18868,1067708.87891,354333.221813,4186192.8334,4596087.10351,5399387.55355,7319624.72078,627424.093882,2485523.63931,6062622.16511,363178.290972,683220.248612,2974952.26433,2259179.80911,,2665660.40882,648302.446627,7613816.84011,858625.603984,2449733.31247,30952560.1774,14674036.1574,305172.564554,21837860.7117,26055965.1055,2526509.00152,2953147.80157,1897688.27847,166308.311311,6509721.43567,753115.917328,4363768.49932,4323811.25503
2042,0.0,21550909.3685,398705.105142,91009.1429576,162548.564201,5621688.7345,9685359.90591,3312390.04031,1039782.3127,347966.029795,4108028.49468,4509824.2772,5249819.82517,7179328.79055,615676.249294,2420069.17335,5948891.93435,356503.036206,670520.362558,2919179.07374,2217096.06873,,2599816.61559,636244.517493,7470821.89876,843196.584611,2403997.65082,30365632.3324,14393660.0966,299806.829976,21428167.8976,25562221.2006,2479069.77574,2890177.09458,1861094.94647,163185.879946,6384985.15633,732698.474342,4281889.06414,4241283.28257
2043,0.0,21139934.5228,391662.361525,88651.222444,159563.566566,5514803.81169,9500899.37847,3251287.35577,1012510.27513,341748.06878,4031696.13193,4425583.23508,5103757.58904,7042321.04489,604203.744705,2356148.79582,5837827.25482,349984.232663,658118.129967,2864713.06678,2175998.66563,,2535516.03565,624469.195962,7331178.40003,828129.182738,2359333.91832,29792460.6033,14119855.3472,294566.854753,21028077.2551,25080049.414,2432742.40638,2828682.26294,1825359.27036,160136.630538,6263172.3824,712759.564987,4201928.67746,4160689.5587
2044,0.0,20738591.9029,384784.682259,86348.5657084,156648.529833,5410424.00499,9320762.14589,3191616.76582,985877.426127,335675.84127,3957152.80945,4343316.59296,4961118.68756,6908524.4192,593000.12702,2293726.55258,5729365.65447,343618.213621,646006.574786,2811523.60724,2135864.48319,,2472722.50099,612969.858609,7194807.79674,813414.923199,2315716.99235,29232722.5905,13852467.8985,289449.691485,20637363.7397,24609178.5319,2387500.83505,2768628.71685,1790461.14939,157158.847933,6144214.59617,693287.973956,4123842.36288,4081984.75078
2045,0.0,20346655.7512,378068.198609,84099.8774932,153801.814278,5308490.60014,9144846.87995,3133344.7054,959868.784557,329745.931599,3884356.59619,4262978.07538,4821822.88552,6777863.6521,582059.094139,2232767.33075,5623446.12302,337401.39816,634178.884196,2759580.77572,2096670.9457,,2411400.68988,601740.036991,7061633.37966,799045.529137,2273122.33814,28686103.4382,13591347.3434,284452.461737,20255807.5728,24149343.6867,2343319.6131,2709982.67582,1756380.95318,154250.857112,6028044.88322,674272.748365,4047586.19641,4005124.5869
2046,0.0,19963905.6028,371509.132542,81903.8929068,151021.818616,5208946.25942,8973054.62794,3076438.39636,934469.720508,323955.004184,3813266.54414,4184522.49175,4685791.82877,6650265.24666,571374.491711,2173236.84065,5520009.08053,331330.289307,622628.405097,2708855.35428,2058396.00673,,2351516.10868,590773.41431,6931580.2379,785012.917741,2231525.99612,28152295.6719,13336346.8012,279572.354559,19883194.1284,23700286.2204,2300173.88853,2652711.15134,1723099.51155,151411.022324,5914597.89785,655703.192114,3973117.28379,3930065.83307
2047,0.0,19590126.1624,365103.794609,79759.3767171,148306.979113,5111734.98954,8805288.75748,3020865.82915,909665.947116,318299.80165,3743842.66544,4107905.71115,4552949.0004,6525657.42931,560940.30969,2115101.59662,5418996.3441,325401.47209,611348.640394,2659318.8101,2021018.13678,,2293035.07258,580063.821889,6804575.21712,771309.195725,2190904.56851,27630999.0271,13087322.8352,274806.624911,19519313.813,23261753.5402,2258039.39202,2596781.92842,1690598.10383,148637.746175,5803809.82661,637568.859904,3900393.73659,3856766.26905
2048,0.0,19225107.1745,358848.581731,77665.1226077,145655.768638,5016802.10799,8641454.8982,2966595.74352,885443.511956,312777.142879,3676045.90832,4033084.63571,4423219.67472,6403970.10664,550750.678724,2058328.89689,5320351.09284,319611.611477,600333.245083,2610943.27826,1984516.31035,,2235924.68527,569605.23545,6680546.87546,757926.65458,2151235.20528,27121920.2681,12844135.3663,270152.592012,19163961.9394,22833498.966,2216892.42243,2542163.54621,1658858.44758,145929.468662,5695618.34987,619859.550955,3829374.64692,3785184.66296
2049,0.0,18868643.3203,352739.975425,75619.9525858,143066.695918,4924094.21616,8481460.89553,2913597.61319,861788.790199,307383.921441,3609838.13791,3960017.17947,4296530.88053,6285134.831,540799.867267,2002886.8075,5224017.83998,313957.450742,589576.023135,2563701.5481,1948869.99559,,2180152.82285,559391.772166,6559425.44847,744857.766786,2112495.59287,26624773.0442,12606647.6044,265607.638024,18816938.6265,22415281.6097,2176709.83508,2488825.2825,1627862.68963,143284.666412,5589962.61122,602565.303992,3760020.06739,3715280.75099
2050,0.0,18520534.088,346774.539584,73622.7162382,140538.304591,4833559.16562,8325216.75245,2861841.6266,838688.476004,302117.103635,3545182.11219,3888662.2418,4172811.35507,6169084.75723,531082.277963,1948744.14213,5129942.39782,308435.809403,579070.923586,2517567.04604,1914059.14137,,2125688.11351,549417.686936,6441142.80502,732095.181062,2074663.94017,26139277.7087,12374725.9622,261169.206399,18478048.6728,22006866.2231,2137469.02715,2436737.1344,1597593.39479,140701.851717,5486783.17904,585676.390958,3692290.98589,3647015.21202
2051,0.0,18180583.6663,340948.918654,71672.2901199,138069.17244,4745146.03045,8172634.58166,2811298.671,816129.575452,296973.726878,3482041.46214,3818979.68557,4051991.50614,6055754.60721,521592.44467,1895870.44554,5038071.84896,303043.581541,568812.037321,2472513.82142,1880064.16659,,2072499.92086,539677.369342,6325632.41118,719631.718457,2037718.96687,25665161.1708,12148239.9838,256834.800521,18147101.4528,21608023.0727,2099147.9257,2385869.80233,1568033.53658,138179.571745,5386022.01493,569183.311844,3626149.30481,3580349.64671
2052,0.0,17848600.8313,335259.835691,69767.5771061,135657.910563,4658805.07778,8023628.5549,2761940.31573,794099.399043,291950.897993,3420380.67084,3750930.31397,3934003.37194,5945080.63213,512325.029306,1844235.97601,4948354.51571,297777.733997,558793.593662,2428516.53158,1846865.94889,,2020558.32626,530165.340402,6212829.29174,707460.368207,2001639.89124,25202156.7374,11927062.2696,252601.982264,17823910.807,21218527.807,2061724.97492,2336194.67316,1539166.48743,135716.407699,5287622.4402,553076.789206,3561557.81913,3515246.55532
2053,0.0,17524398.8466,329704.090656,67907.5058187,133303.162656,4574487.74188,7878114.85807,2713738.7973,772585.555068,287045.791701,3360165.05482,3684475.85007,3818780.58558,5837000.57923,503274.819065,1793811.68977,4860739.93318,292635.304798,549009.957356,2385550.42857,1814445.81468,,1969834.1132,520876.249717,6102669.99631,695574.284075,1966406.41923,24750003.974,11711068.4098,248468.370718,17508294.9445,20838161.3397,2025179.12485,2287683.80522,1510976.00997,133310.974081,5191529.1063,537347.763322,3498480.1969,3451669.31815
2054,0.0,17207795.3438,324278.558358,66091.0299399,131003.604138,4492146.59299,7736011.63756,2666667.00164,751575.941671,282255.648805,3301360.7419,3619578.91222,3706258.33251,5731453.65186,494436.723067,1744569.22241,4775178.81686,287613.401249,539455.624962,2343591.34332,1782785.52716,,1920298.74855,511804.872033,5995092.55864,683966.779963,1931998.73149,24308448.5381,11500136.9048,244431.640666,17200076.3268,20466709.709,1989489.8179,2240309.91043,1483446.24665,130961.917797,5097687.95927,521987.386378,3436880.95603,3389582.17206
2055,0.0,16898612.2358,318980.186977,64317.1277156,128757.941523,4411735.31482,7597238.96137,2620698.45123,731058.7411,277577.774886,3243934.65511,3556202.9964,3596373.31982,5628380.48066,485805.769948,1696480.8754,4691623.03924,282709.198567,530125.222239,2302615.67415,1751867.27765,,1871924.36904,502946.104769,5890036.46723,672631.326735,1898397.47395,23877242.058,11294149.1069,240489.521476,16899081.583,20103963.9761,1954636.9791,2194046.34133,1456561.71216,128667.917521,5006046.21418,506987.018277,3376725.44741,3328950.1935
2056,0.0,16596675.607,313805.996177,62584.8013255,126564.911628,4333208.67602,7461718.76984,2575807.28873,711022.412427,273009.538639,3187854.49225,3494312.45363,3489063.73717,5527723.08696,477377.104798,1649519.59905,4610025.60021,277919.938138,521013.500834,2262600.37225,1721673.67462,,1824683.76408,494294.964868,5787442.62802,661561.548197,1865583.7459,23456141.9799,11092989.1482,236639.795707,16605141.4038,19749720.0965,1920601.00372,2148867.07465,1430307.28397,126427.682878,4916552.32254,492338.221312,3317979.83355,3269739.27696
2057,0.0,16301815.6171,308753.075459,60893.07633,124423.280864,4256522.50509,7329374.83239,2531968.26272,691455.685147,268548.370415,3133088.70804,3433872.47028,3384269.22253,5429424.85062,469145.986462,1603658.97748,4530340.60091,273242.925986,512115.335373,2223522.92887,1692187.73407,,1778550.36065,485846.586031,5687253.3316,650751.217561,1833539.08951,23044911.4337,10896543.8755,232880.297875,16318090.4465,19403778.8067,1887362.74642,2104746.6969,1404668.19386,124239.953728,4829155.94371,478032.755481,3260611.06983,3211916.1161
2058,0.0,16013866.4108,303818.582616,59241.0011544,122331.84459,4181633.66698,7200132.70718,2489156.71428,672347.553216,264191.760863,3079606.49739,3374849.04958,3281930.83029,5333430.48009,461107.785036,1558873.21464,4452523.2195,268675.531348,503425.720745,2185361.36342,1663392.87052,,1733498.20928,477596.216151,5589412.22272,640194.254147,1802245.48004,22643319.1071,10704702.7905,229208.913306,16037767.2487,19065945.5191,1854903.51107,2061660.3909,1379630.02016,122103.499499,4743807.91831,464062.574136,3204586.88704,3155448.18609
2059,0.0,15732666.0119,298999.741912,57627.6464786,120289.426338,4108500.03546,7073919.69332,2447348.56119,653687.267985,259937.259314,3027377.77566,3317208.98986,3181990.99335,5239685.9769,453257.978897,1515137.11778,4376529.68239,264215.184989,494939.768895,2148094.20938,1635272.88638,,1689501.96737,469539.214253,5493864.26412,629884.719485,1771685.31431,22251139.0978,10517357.9796,225623.576787,15764014.1238,18736030.1966,1823205.03882,2019583.91988,1355178.67847,120017.118401,4660460.23661,450419.818812,3149875.77062,3100303.72278
2060,0.0,15458056.2465,294293.842772,56052.1047975,118294.877258,4037080.47318,6950664.79655,2406520.28655,635464.333127,255782.472631,2976373.16442,3260919.86886,3084393.49602,5148138.6102,445592.152563,1472426.08555,4302317.24356,259859.377983,486652.706514,2111700.50414,1607811.96427,,1646536.88724,461671.048311,5400555.71047,619816.814507,1741841.40236,21868150.806,10334404.0621,222122.27158,15496677.0868,18413847.2635,1792249.4994,1978493.61601,1331300.41502,117979.636853,4579066.01594,437096.815521,3096446.9458,3046451.70765
2061,0.0,15189882.6497,289698.238181,54513.4898875,116347.075438,3967334.80748,6830298.68743,2366648.92493,617668.498454,251725.063795,2926563.97417,3205950.02459,2989083.44082,5058736.88565,438105.994097,1430716.09348,4229844.15936,255605.660239,478559.872225,2076159.77666,1580994.65774,,1604578.80153,453987.292572,5309434.07681,609984.876134,1712696.95734,21494138.8055,10155738.1285,218703.028242,15235605.7639,18099215.4954,1762019.48069,1938366.36647,1307981.79856,115989.908795,4499579.47297,424086.070228,3044270.3595,2993861.84955
2062,0.0,14927994.3693,285210.343035,53010.936252,114444.925207,3899223.80526,6712753.65802,2327712.04803,600289.753512,247762.750446,2877922.18642,3152268.5356,2896007.21427,4971430.5133,430795.292409,1389983.67902,4159069.6625,251451.63897,470656.713675,2041452.03469,1554805.88162,,1563604.10811,446483.624796,5220448.1057,600383.373738,1684235.58502,21128892.7083,9981259.67631,215363.923393,14980653.2979,17791957.9069,1732497.97779,1899179.59902,1285209.71199,114046.814972,4421955.89521,411380.264173,2993316.66153,2942504.56584
2063,0.0,14672244.0963,280827.632944,51543.5987214,112587.356628,3832709.15483,6597963.59056,2289687.75428,583318.322951,243893.303826,2830420.4407,3099845.20665,2805112.46203,4886170.38429,423655.935311,1350205.93063,4089953.94309,247394.977586,462938.785424,2007557.75552,1529230.90501,,1523589.75918,439155.824254,5133547.74354,591006.90658,1656441.27618,20772207.0674,9810870.5633,212103.078823,14731676.281,17491901.6689,1703668.3852,1860911.27154,1262971.34625,112149.262416,4346151.62026,398972.250482,2943557.19099,2892350.9686
2064,0.0,14422487.971,276547.642633,50110.6519182,110773.324817,3767753.44171,6485863.91561,2252554.65502,566744.660341,240114.547373,2784032.01728,3048650.54962,2716348.0558,4802908.53978,416683.906915,1311360.47333,4022458.12355,243433.394214,455401.746138,1974457.87361,1504255.34199,,1484513.24666,431999.769057,5048684.10884,581850.200396,1629298.39654,20423881.2472,9644474.94558,208918.660306,14488534.6637,17198877.9998,1675514.48627,1823539.85809,1241254.19228,110296.183753,4272124.00822,386855.049645,2894963.95817,2843372.84643
2065,0.0,14178585.507,272367.964632,48711.2898182,109001.809392,3704320.12867,6376391.57778,2216291.8631,550559.443093,236424.355557,2738730.82293,2998655.76781,2629664.06611,4721598.14549,409875.285496,1273425.45677,3956544.23786,239564.660487,448041.356276,1942133.77048,1479865.14394,,1446352.59024,425011.433966,4965809.46633,572908.104594,1602791.67838,20083719.3164,9481979.22661,205808.876626,14251091.6801,16912722.0756,1648020.44459,1787044.33747,1220046.03429,108486.536638,4199831.41898,375021.845809,2847509.62967,2795542.64942
2066,0.0,13940399.5014,268286.247738,47344.7252352,107271.81382,3642373.53246,6269484.99535,2180878.97953,534753.566502,232820.652526,2694491.37429,2949832.73754,2545011.73044,4642193.46168,403226.240984,1236379.54129,3892175.20736,235786.600118,440853.475381,1910567.26276,1456046.59059,,1409086.32333,418186.887819,4884877.19635,564175.588956,1576906.21081,19751529.9231,9323291.99731,202771.978429,14019213.761,16633272.9242,1621170.79388,1751404.17977,1199334.94202,106719.303085,4129233.18564,363465.982416,2801167.51091,2748833.47156
2067,0.0,13707795.9847,264300.196159,46010.1895347,105582.36505,3581878.81073,6165084.0379,2146296.08607,519318.140433,229301.411352,2651288.78853,2902153.99795,2462343.43543,4564649.82661,396733.033575,1200201.89014,3829314.82719,232097.088108,433834.060577,1879740.59565,1432786.28503,,1372693.48524,411522.292096,4805841.77792,555647.741814,1551627.43436,19427126.2248,9168324.00286,199806.257589,13792770.4849,16360373.3674,1594950.43235,1716599.33892,1179109.26635,104993.489101,4060289.59968,352180.959782,2755911.5364,2703219.04091
2068,0.0,13480644.1111,260407.567631,44706.9320039,103932.512723,3522801.93355,6063129.97705,2112523.7289,504244.482039,225864.652364,2609098.76303,2855592.72843,2381612.67793,4488923.61987,390392.010663,1164872.15239,3767927.73667,228494.049006,426979.163252,1849636.4283,1410071.14269,,1337153.60399,405013.897783,4728658.75148,547319.76602,1526941.12903,19110325.7356,9016988.06953,196910.045808,13571634.4713,16093869.8918,1569344.61033,1682610.23625,1159357.62979,103308.123868,3992961.87847,341160.429776,2711716.24843,2658673.69812
2069,0.0,13258816.1118,256606.172624,43434.2195848,102321.328826,3465109.67128,5963565.46554,2079542.91169,489524.112666,222508.44245,2567897.56668,2810122.73914,2302774.04837,4414972.24686,384199.605539,1130370.45573,3707979.40671,224975.456169,420284.927652,1820237.82768,1387888.38674,,1302446.68908,398658.044027,4653284.70301,539186.977244,1502833.40924,18800950.261,8869199.07368,194081.71402,13355681.3352,15833612.5941,1544338.92502,1649417.75351,1140068.92242,101662.259401,3927212.15141,330398.193554,2668556.78797,2615172.38724
