year,annotation,Average Load
2003,,23157.0
2004,,23475.0
2005,,23708.0
2006,,24843.0
2007,,25502.0
2008,,26082.0
2009,,26638.0
2010,,26315.0
2011,,28443.0
2012,,29355.0
2013,,29331.0
2014,,28827.0
2015,start of forecast,29209.0
2016,,29420.0
2017,,29615.0
2018,,29791.0
2019,,29949.0
2020,,30089.0
2021,,30211.0
2022,,30315.0
2023,,30404.0
2024,,30480.0
2025,,30538.0
2026,,30580.0
2027,,30608.0
2028,,30623.0
2029,,30633.0
2030,,30635.0
2031,,30622.0
2032,,30593.0
2033,,30560.0
2034,,30513.0
2035,,30463.0
2036,,30410.0
2037,,30345.0
2038,,30274.0
2039,,30195.0
2040,,30107.0
