year,Base case diesel consumed,Modeled non-residential ashp
2017,35096.7009226,24930.8480867
2018,35096.7009226,24930.8480867
2019,36390.3734009,26224.520565
2020,37684.0458792,27518.1930433
2021,37684.0458792,27518.1930433
2022,38977.7183575,28811.8655216
2023,38977.7183575,28811.8655216
2024,40271.3908358,30105.5379999
2025,40271.3908358,30105.5379999
2026,41565.0633141,31399.2104782
2027,41565.0633141,31399.2104782
2028,41565.0633141,31399.2104782
2029,42858.7357924,32692.8829565
2030,42858.7357924,32692.8829565
2031,44152.4082707,33986.5554348
