year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,0.0,6109.78,40935.47,22955.69
2018,0.0,6109.11,40935.47,22955.69
2019,0.0,6108.64,40935.47,22955.69
2020,0.0,6108.19,40935.47,22955.69
2021,0.0,6107.68,40935.47,21881.6
2022,0.0,6107.19,40935.47,21881.6
2023,0.0,6106.35,40935.47,21881.6
2024,0.0,6105.68,40935.47,21881.6
2025,0.0,6105.19,40935.47,21881.6
2026,0.0,6104.93,40935.47,21881.6
2027,0.0,6104.58,40935.47,21881.6
2028,0.0,6104.15,40935.47,20807.5
2029,0.0,6104.71,40935.47,21881.6
2030,0.0,6105.02,40935.47,21881.6
2031,0.0,6105.06,40935.47,21881.6
2032,0.0,6104.42,40935.47,21881.6
2033,0.0,6103.61,40935.47,20807.5
2034,0.0,6102.86,40935.47,20807.5
2035,0.0,6102.35,40935.47,20807.5
2036,0.0,6102.16,40935.47,20807.5
2037,0.0,6102.26,40935.47,20807.5
2038,0.0,6102.3,40935.47,20807.5
2039,0.0,6102.08,40935.47,20807.5
2040,0.0,6101.7,40935.47,20807.5
