year,Base case cost,Modeled water and wastewater efficiency
2017,68776.6675076,53419.5315713
2018,73430.1297754,56598.9445407
2019,79951.9041865,61096.3044244
2020,83141.1780148,63249.2506294
2021,85262.6201814,64652.4047956
2022,86984.2082404,65776.1177701
2023,88031.4408331,66426.867762
2024,88949.0953859,66988.4789803
2025,90136.7256507,67742.2511346
2026,91462.4072935,68595.2694912
2027,92652.6539187,69354.7554884
2028,93574.7054312,69927.1903363
2029,94919.3154092,70799.4660384
2030,95725.5437115,71294.2664497
2031,97191.4116287,72255.1337615
