year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,40935.4684908,30292.2466832
2018,40935.4684908,30292.2466832
2019,40935.4684908,30292.2466832
2020,40935.4684908,30292.2466832
2021,40935.4684908,30292.2466832
2022,40935.4684908,30292.2466832
2023,40935.4684908,30292.2466832
2024,40935.4684908,30292.2466832
2025,40935.4684908,30292.2466832
2026,40935.4684908,30292.2466832
2027,40935.4684908,30292.2466832
2028,40935.4684908,30292.2466832
2029,40935.4684908,30292.2466832
2030,40935.4684908,30292.2466832
2031,40935.4684908,30292.2466832
