year,Base case diesel consumed,Modeled transmission and interties
2021,0.0,-41689.6781467
2022,0.0,-41689.6781467
2023,0.0,-41689.6781467
2024,0.0,-41689.6781467
2025,0.0,-41689.6781467
2026,0.0,-41689.6781467
2027,0.0,-41689.6781467
2028,0.0,-41689.6781467
2029,0.0,-41689.6781467
2030,0.0,-41689.6781467
2031,0.0,-41689.6781467
2032,0.0,-41689.6781467
2033,0.0,-41689.6781467
2034,0.0,-41600.2153181
2035,0.0,-41600.2153181
2036,0.0,-41600.2153181
2037,0.0,-41600.2153181
2038,0.0,-41600.2153181
2039,0.0,-41600.2153181
2040,0.0,-41600.2153181
