year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,579937
2004,,0,0,0,0,0,542805
2005,,0,0,0,0,0,543387
2006,,0,0,0,0,0,538592
2007,,0,0,42729,0,0,502608
2008,,0,0,48760,0,0,506802
2009,,0,0,21269,0,0,524995
2010,,0,0,0,0,0,531485
2011,,0,0,0,0,0,523894
2012,,0,0,0,0,0,462930
2013,,0,0,0,0,0,395032
2014,start of forecast,0,0,0,0,467000,0
2015,,0,0,0,0,467000,0
2016,,0,0,0,0,467000,0
2017,,0,0,0,0,467000,0
2018,,0,0,0,0,467000,0
2019,,0,0,0,0,466000,0
2020,,0,0,0,0,466000,0
2021,,0,0,0,0,466000,0
2022,,0,0,0,0,466000,0
2023,,0,0,0,0,466000,0
2024,,0,0,0,0,466000,0
2025,,0,0,0,0,466000,0
2026,,0,0,0,0,466000,0
2027,,0,0,0,0,466000,0
2028,,0,0,0,0,466000,0
2029,,0,0,0,0,466000,0
2030,,0,0,0,0,466000,0
2031,,0,0,0,0,466000,0
2032,,0,0,0,0,466000,0
2033,,0,0,0,0,466000,0
2034,,0,0,0,0,465000,0
2035,,0,0,0,0,465000,0
2036,,0,0,0,0,465000,0
2037,,0,0,0,0,465000,0
2038,,0,0,0,0,465000,0
2039,,0,0,0,0,465000,0
2040,,0,0,0,0,465000,0
