year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6109.78163525,3971.35806291
2018,6109.10831584,3970.9204053
2019,6108.63533622,3970.61296854
2020,6108.18610966,3970.32097128
2021,6107.6821176,3969.99337644
2022,6107.19401874,3969.67611218
2023,6106.34771562,3969.12601515
2024,6105.68266976,3968.69373534
2025,6105.19298292,3968.3754389
2026,6104.93023128,3968.20465033
2027,6104.5757768,3967.97425492
2028,6104.1475677,3967.69591901
2029,6104.70876729,3968.06069874
2030,6105.01578236,3968.26025854
2031,6105.06069968,3968.28945479
