year,Base case cost,Chignik lagoon (through creek),Chignik hydroelectric dam project -- packers creek,Chignik (mud bay lake creek),Chignik lagoon (crazy creek)
2020,0.0,,133703.858309,,
2021,0.0,809814.111856,130376.581073,1772794.80306,221585.738065
2022,0.0,791757.38207,127202.393512,1736736.75433,216796.958061
2023,0.0,774615.268884,124236.943447,1701882.06268,212223.453086
2024,0.0,757959.960255,121364.243389,1667906.27046,207774.969816
2025,0.0,741468.519453,118496.954007,1634561.67075,203383.257837
2026,0.0,725236.85995,115662.219331,1601906.1921,199067.902756
2027,0.0,709465.760269,112915.829825,1570074.49226,194870.490317
2028,0.0,694251.53936,110284.997573,1539125.35139,190810.715498
2029,0.0,679062.75045,107625.295143,1508660.16669,186776.656695
2030,0.0,664624.059703,105135.671731,1479196.32258,182919.782312
2031,0.0,649985.757207,102557.315075,1450030.81374,179040.493075
2032,0.0,635663.557221,100032.012108,1421529.20071,175246.467015
2033,0.0,621650.051157,97558.5193962,1393675.92356,171535.705793
2034,0.0,607938.003971,95135.6226308,1366455.78686,167906.257881
2035,0.0,594834.330531,92847.9720821,1340082.84754,164422.052076
2036,0.0,581599.510128,90494.1254148,1314008.52282,160927.613214
2037,0.0,569168.745873,88330.4601115,1288905.35006,157618.627615
2038,0.0,556488.856152,86069.7513319,1263996.52115,154273.871692
2039,0.0,544390.696121,83939.8169115,1239878.93032,151067.171103
2040,0.0,532135.369431,81739.319305,1216005.3061,147843.219096
2041,0.0,521495.970058,79953.6346831,1193659.85685,144973.425405
2042,0.0,511105.931609,78209.8020445,1171838.12907,142170.892504
2043,0.0,500959.40959,76506.8404673,1150527.84783,139434.043941
2044,0.0,491050.69675,74843.7920636,1129717.02646,136761.340286
2045,0.0,481374.21938,73219.7213591,1109393.95873,134151.278126
2046,0.0,471924.534443,71633.7148108,1089547.2129,131602.389297
2047,0.0,462696.326531,70084.8802968,1070165.62524,129113.240058
2048,0.0,453684.404665,68572.3465788,1051238.29338,126682.430235
2049,0.0,444883.699747,67095.2628747,1032754.57093,124308.592524
2050,0.0,436289.261359,65652.7983213,1014704.06073,121990.391637
2051,0.0,427896.255131,64244.1415326,997076.609394,119726.523586
2052,0.0,419699.959954,62868.5001318,979862.301376,117515.714934
2053,0.0,411695.76551,61525.1003374,963051.453839,115356.722127
2054,0.0,403879.16932,60213.1864668,946634.610431,113248.330699
2055,0.0,396245.774609,58932.0205783,930602.5368,111189.354697
2056,0.0,388791.287589,57680.882016,914946.214903,109178.635946
2057,0.0,381511.515087,56459.0670099,899656.838003,107215.04341
2058,0.0,374402.362319,55265.8883042,884725.806013,105297.472592
2059,0.0,367459.830266,54100.6747155,870144.719975,103424.844825
2060,0.0,360680.013786,52962.7708164,855905.378092,101596.106766
2061,0.0,354059.099309,51851.5365493,841999.770901,99810.2297694
2062,0.0,347593.362462,50766.3468263,828420.076266,98066.2092509
2063,0.0,341279.166339,49706.5912404,815158.655761,96363.0642179
2064,0.0,335112.959206,48671.6736789,802208.049835,94699.8366513
2065,0.0,329091.272606,47661.0120068,789560.973848,93075.5909953
2066,0.0,323210.719147,46674.0376944,777210.313414,91489.4135595
2067,0.0,317467.991268,45710.1956105,765149.121811,89940.4121865
2068,0.0,311859.858527,44768.9435677,753370.614288,88427.7155206
2069,0.0,306383.166454,43849.7521293,741868.165656,86950.4726983
2070,0.0,301034.834333,,730635.305623,85507.8527494
