year,Base case cost,Modeled biomass for heat (pellet)
2017,14089.1315805,16785.525453
2018,15736.4715805,17960.6489972
2019,18021.4915805,19590.6590747
2020,19137.4315805,20386.7105078
2021,19881.3915805,20917.4114633
2022,20465.9315805,21334.3907854
2023,20891.0515805,21637.6484743
2024,21209.8915805,21865.0917409
2025,21635.0115805,22168.3494297
2026,22113.2715805,22509.5143297
2027,22538.3915805,22812.7720185
2028,22857.2315805,23040.2152851
2029,23335.4915805,23381.3801851
2030,23601.1915805,23570.9162406
2031,24132.5915805,23949.9883516
2032,,
2033,,
2034,,
2035,,
2036,,
