year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,367809.0,317799.471488
2018,370399.0,320389.471488
2019,371694.0,321684.471488
2020,374283.0,324273.471488
2021,375578.0,325568.471488
2022,376873.0,326863.471488
2023,379463.0,329453.471488
2024,380757.0,330747.471488
2025,382052.0,332042.471488
2026,384642.0,334632.471488
2027,387231.0,337221.471488
2028,388526.0,338516.471488
2029,391116.0,341106.471488
2030,396295.0,346285.471488
2031,400180.0,350170.471488
2032,402769.0,352759.471488
2033,404064.0,354054.471488
2034,406654.0,356644.471488
2035,409243.0,359233.471488
2036,411833.0,361823.471488
