year,Base case diesel consumed,Modeled wind power
2019,199255.257282,166415.283548
2020,198947.170297,166107.196563
2021,198562.061567,165722.087832
2022,198330.996328,165491.022594
2023,198099.93109,165259.957356
2024,197714.822359,164874.848625
2025,197483.75712,164643.783386
2026,197021.626644,164181.652909
2027,196790.561405,163950.587671
2028,196482.474421,163642.500686
2029,195943.322198,163103.348463
2030,195173.104736,162333.131002
2031,194479.909021,161639.935287
2032,194094.80029,161254.826556
2033,193709.691559,160869.717825
2034,193401.604575,160561.630841
2035,193016.495844,160176.52211
2036,192477.343621,159637.369887
2037,192092.23489,159252.261156
2038,191630.104413,158790.130679
