year,Base case diesel consumed,Modeled solar power
2020,198947.170297,195735.399884
2021,198562.061567,195375.985316
2022,198330.996328,195170.408688
2023,198099.93109,194964.62815
2024,197714.822359,194604.601843
2025,197483.75712,194398.418369
2026,197021.626644,193960.970602
2027,196790.561405,193754.390612
2028,196482.474421,193470.592994
2029,195943.322198,192955.535822
2030,195173.104736,192209.220652
2031,194479.909021,191539.736009
2032,194094.80029,191178.148662
2033,193709.691559,190816.373145
2034,193401.604575,190531.432707
2035,193016.495844,190169.285352
2036,192477.343621,189652.910812
2037,192092.23489,189290.397544
2038,191630.104413,188850.681766
2039,191244.995683,188487.808417
