year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,2453600
2004,,0,0,0,0,0,2451400
2005,,0,0,0,0,0,2561200
2006,,0,0,0,0,0,2578000
2007,,0,0,0,0,0,2575000
2008,,0,0,0,0,0,2595900
2009,,0,0,0,0,0,2587800
2010,,0,0,0,0,0,2736900
2011,,0,0,0,0,0,2652700
2012,,0,0,0,0,0,2758800
2013,,0,0,0,0,0,2592900
2014,start of forecast,0,0,0,0,0,2606000
2015,,0,0,0,0,0,2603000
2016,,0,0,0,0,0,2599000
2017,,0,0,0,0,0,2596000
2018,,0,0,0,0,0,2591000
2019,,0,0,0,0,0,2587000
2020,,0,0,0,0,0,2583000
2021,,0,0,0,0,0,2578000
2022,,0,0,0,0,0,2575000
2023,,0,0,0,0,0,2572000
2024,,0,0,0,0,0,2567000
2025,,0,0,0,0,0,2564000
2026,,0,0,0,0,0,2558000
2027,,0,0,0,0,0,2555000
2028,,0,0,0,0,0,2551000
2029,,0,0,0,0,0,2544000
2030,,0,0,0,0,0,2534000
2031,,0,0,0,0,0,2525000
2032,,0,0,0,0,0,2520000
2033,,0,0,0,0,0,2515000
2034,,0,0,0,0,0,2511000
2035,,0,0,0,0,0,2506000
2036,,0,0,0,0,0,2499000
2037,,0,0,0,0,0,2494000
2038,,0,0,0,0,0,2488000
2039,,0,0,0,0,0,2483000
2040,,0,0,0,0,0,2477000
