year,annotation,Average Load
2003,,237.0
2004,,239.0
2005,,253.0
2006,,254.0
2007,,251.0
2008,,248.0
2009,,249.0
2010,,264.0
2011,,255.0
2012,,270.0
2013,,250.0
2014,start of forecast,252.0
2015,,252.0
2016,,252.0
2017,,251.0
2018,,251.0
2019,,251.0
2020,,250.0
2021,,250.0
2022,,249.0
2023,,249.0
2024,,249.0
2025,,248.0
2026,,248.0
2027,,247.0
2028,,247.0
2029,,246.0
2030,,245.0
2031,,244.0
2032,,244.0
2033,,244.0
2034,,243.0
2035,,243.0
2036,,242.0
2037,,241.0
2038,,241.0
2039,,240.0
2040,,240.0
