year,Base case cost,Modeled non-residential energy efficiency
2017,1649878.0124,1763261.33921
2018,1735145.83531,1833581.7354
2019,1852756.62553,1933494.49413
2020,1908621.75088,1977402.94168
2021,1946845.2577,2005424.76445
2022,1973307.6855,2022905.70871
2023,1993889.57379,2035191.6097
2024,2011531.19232,2044953.61795
2025,2029172.81085,2054862.96893
2026,2052694.9689,2070265.75253
2027,2073276.85719,2083134.2814
2028,2090918.47572,2093465.26226
2029,2111500.36401,2106605.0221
2030,2126201.71278,2114526.10532
2031,2149723.87083,2130599.30282
