year,annotation,diesel generation efficiency
2002,,12.75
2003,,12.8
2004,,12.99
2005,,12.76
2006,,12.95
2007,,13.01
2008,,13.05
2009,,13.39
2010,,13.09
2011,,12.99
2012,,13.21
2013,,12.74
2014,start of forecast,12.98
2015,,12.98
2016,,12.98
2017,,12.98
2018,,12.98
2019,,12.98
2020,,12.98
2021,,12.98
2022,,12.98
2023,,12.98
2024,,12.98
2025,,12.98
2026,,12.98
2027,,12.98
2028,,12.98
2029,,12.98
2030,,12.98
2031,,12.98
2032,,12.98
2033,,12.98
2034,,12.98
2035,,12.98
2036,,12.98
2037,,12.98
2038,,12.98
2039,,12.98
2040,,12.98
