year,Base case cost,Modeled biomass for heat (cordwood)
2017,1714045.87934,1882339.24924
2018,1833531.38324,1984524.0338
2019,1988619.4302,2116875.89037
2020,2073584.74395,2189671.05485
2021,2129584.38091,2236563.65344
2022,2170845.79786,2270779.4866
2023,2212327.00177,2306274.9393
2024,2242716.63857,2331237.16434
2025,2273267.50552,2356417.4986
2026,2319449.75943,2396284.57521
2027,2362167.99319,2433241.97104
2028,2393379.25014,2459245.45812
2029,2436712.16405,2496922.23807
2030,2488792.87171,2544397.52111
2031,2545205.66258,2594753.93621
2032,2593893.61633,2637433.69265
2033,2638599.37329,2675678.20626
2034,2692111.32719,2722774.86337
2035,2729713.05095,2756006.54113
2036,2784053.71486,2804020.59593
