year,Base case cost,Modeled solar power
2020,664483.548793,681678.371591
2021,689010.353636,705292.435459
2022,706058.346928,721573.850932
2023,719102.749855,733931.700699
2024,729567.694504,743757.144103
2025,740564.089202,754129.14405
2026,754592.830045,767487.051559
2027,767483.18948,779752.36877
2028,778070.598705,789759.469168
2029,789651.588456,800744.088897
2030,796306.267323,806875.666914
2031,809036.421526,819007.255906
2032,822961.95323,832348.090358
2033,838762.964452,847549.044411
2034,854835.09222,863034.862945
2035,862783.736422,870524.546734
2036,877696.686911,884876.916359
2037,885545.202844,892289.836028
2038,900661.490743,906870.199294
2039,912238.629406,917978.942364
