year,Base case cost,Modeled wind power
2019,562171.774683,791021.608521
2020,602507.96517,812274.63739
2021,627307.402125,822341.103522
2022,647944.656827,829614.105537
2023,661881.389221,832146.576633
2024,671492.085994,831713.491451
2025,685113.015528,834265.380082
2026,700344.482927,837994.107015
2027,713127.93969,840028.214478
2028,723467.587188,840368.201615
2029,736320.36653,842776.513264
2030,744638.442287,841988.105555
2031,758424.63895,845025.151176
2032,773123.94632,848520.154568
2033,787355.50134,851684.405466
2034,801100.397851,854495.787196
2035,806707.190524,851681.482055
2036,822372.825934,856076.406305
2037,827968.414958,853503.08956
2038,841211.948171,856317.633874
