year,Base case cost,Modeled solar power (pv)
2016,343029.141754,374574.399659
2017,420559.572772,450313.19411
2018,480635.312272,508866.312263
2019,562171.774683,588620.150586
2020,602507.96517,627755.617187
2021,627307.402125,651579.519438
2022,647944.656827,671319.373405
2023,661881.389221,684463.154218
2024,671492.085994,693354.996179
2025,685113.015528,706218.721084
2026,700344.482927,720683.034899
2027,713127.93969,732744.134073
2028,723467.587188,742405.185205
2029,736320.36653,754568.511203
2030,744638.442287,762266.326267
2031,758424.63895,775367.956988
2032,773123.94632,789372.285245
2033,787355.50134,802924.688984
2034,801100.397851,816005.923889
2035,806707.190524,821066.374731
