year,Base case diesel consumed,"Belkovski, belkofski (unnamed stream, site #7) -- unnamed creek","King cove (ram creek, north branch)","King cove (unnamed  creek, sw)","King cove (unnamed creek, ne)",Waterfall creek hydroelectric construction project
2018,215531.530167,,,,,181382.730574
2019,215391.484553,,,,,181242.68496
2020,215181.416132,,,,,181032.616539
2021,214831.302098,168325.654843,206993.27166,175641.149913,84197.4614824,180682.502504
2022,214551.21087,168045.563615,206713.180432,175361.058685,83917.3702546,180402.411277
2023,214201.096835,167695.44958,206363.066397,175010.944651,83567.25622,180052.297242
2024,213850.982801,167345.335546,206012.952363,174660.830616,83217.1421853,179702.183207
2025,213430.845959,166925.198704,205592.815521,174240.693774,82797.0053437,179282.046366
2026,212870.663504,166365.016249,205032.633066,173680.511319,82236.8228883,178721.86391
2027,212240.458241,165734.810986,204402.427803,173050.306057,81606.6176259,178091.658648
2028,211540.230172,165034.582917,203702.199734,172350.077987,80906.3895566,177391.430579
2029,210980.047716,164474.400462,203142.017279,171789.895532,80346.2071012,176831.248123
2030,210349.842454,163844.195199,202511.812016,171159.690269,79716.0018388,176201.042861
2031,209509.568771,163003.921516,201671.538333,170319.416586,78875.7281556,175360.769178
2032,208389.20386,161883.556605,200551.173422,169199.051675,77755.3632447,174240.404267
2033,207198.816142,160693.168887,199360.785704,168008.663958,76564.9755269,173050.016549
2034,205938.405617,159432.758362,198100.375179,166748.253433,75304.5650021,171789.606024
2035,204748.0179,158242.370645,196909.987462,165557.865715,74114.1772843,170599.218306
2036,203557.630182,157051.982927,195719.599744,164367.477997,72923.7895665,169408.830588
2037,202437.265271,155931.618016,194599.234833,163247.113086,71803.4246556,168288.465678
2038,201246.877553,154741.230298,193408.847115,162056.725368,70613.0369378,167098.07796
2039,199986.467028,153480.819773,192148.43659,160796.314844,69352.626413,165837.667435
2040,198656.033697,152150.386442,190818.003259,159465.881512,68022.1930813,164507.234103
2041,197325.600365,150819.95311,189487.569927,158135.44818,66691.7597496,163176.800772
2042,196065.18984,149559.542585,188227.159402,156875.037656,65431.3492249,161916.390247
2043,194804.779315,148299.13206,186966.748877,155614.627131,64170.9387001,160655.979722
2044,193614.391597,147108.744343,185776.36116,154424.239413,62980.5509823,159465.592004
2045,192424.00388,145918.356625,184585.973442,153233.851695,61790.1632645,158275.204286
2046,191163.593355,144657.9461,183325.562917,151973.44117,60529.7527397,157014.793762
2047,189973.205637,143467.558382,182135.175199,150783.053453,59339.3650219,155824.406044
2048,188852.840726,142347.193471,181014.810288,149662.688542,58219.000111,154704.041133
2049,187732.475815,141226.82856,179894.445377,148542.323631,57098.6352001,153583.676222
2050,186682.133711,140176.486456,178844.103273,147491.981527,56048.2930961,152533.334118
