year,Base case cost,"Belkovski, belkofski (unnamed stream, site #7) -- unnamed creek","King cove (ram creek, north branch)","King cove (unnamed  creek, sw)","King cove (unnamed creek, ne)",Waterfall creek hydroelectric construction project
2018,480635.312272,,,,,823846.05612
2019,562171.774683,,,,,885432.267094
2020,602507.96517,,,,,911876.198026
2021,627307.402125,1079930.45323,723620.759547,904702.085583,1026976.14624,925132.422979
2022,647944.656827,1085027.97766,741251.161132,914258.297901,1020841.37002,935027.59199
2023,661881.389221,1084951.88176,752447.472461,918353.494313,1011899.52205,939327.761801
2024,671492.085994,1081650.01687,759512.062325,919003.743999,1001335.94871,940094.51086
2025,685113.015528,1081770.94184,770496.545669,923124.168591,992755.214759,944425.191854
2026,700344.482927,1083329.43103,783070.878823,928665.400186,984930.706638,950224.802284
2027,713127.93969,1083101.95084,793317.047725,932273.585082,976158.059203,954048.281853
2028,723467.587188,1081087.03893,801238.105428,933949.158248,966433.997846,955896.007185
2029,736320.36653,1081395.29244,811648.16164,937936.832087,958346.326173,960103.780566
2030,744638.442287,1078234.69574,817710.851142,938248.006197,948382.836359,960546.225672
2031,758424.63895,1079500.76331,829073.653413,943110.619052,940634.794854,965679.093771
2032,773123.94632,1081474.14835,841322.224173,948674.786512,932902.230824,971561.300807
2033,787355.50134,1083189.36488,853145.53565,953910.576207,924978.560841,977117.289167
2034,801100.397851,1084622.59526,864523.685885,958795.815812,916838.395691,982324.835929
2035,806707.190524,1079799.22574,868087.67748,957092.97283,905547.634979,980764.065474
2036,822372.825934,1083127.85298,881395.810827,963807.396425,898668.767398,987850.439528
2037,827968.414958,1078679.08588,885026.820851,962349.913286,887876.059196,986539.00341
2038,841211.948171,1080382.78202,896060.095925,967247.060829,880253.329386,991766.409329
2039,851942.34954,1080175.53866,904687.951184,970106.240554,871538.339703,994912.146717
2040,866140.306917,1082772.56203,916677.645341,975842.48012,864163.397002,1001027.91962
2041,860339.617591,1069748.37531,909412.393841,965238.119086,848827.838267,990349.143644
2042,854844.227703,1057198.78859,902486.767421,955051.643432,834021.052247,980089.997144
2043,849348.837815,1044814.53497,895594.662246,944975.11535,819432.502569,969942.501442
2044,844158.747365,1032897.03848,889040.592011,935311.257092,805362.373181,960209.338867
2045,838968.656915,1021137.21569,882518.490077,925752.252848,791500.369867,950582.654627
2046,833473.267027,1009226.07128,875722.307667,915990.345397,777536.314704,940754.653428
2047,828283.176578,997770.5958,869261.91207,906633.734053,764076.043644,931333.49741
2048,823398.385566,986767.26456,863136.588655,897680.074873,751114.904167,922316.80632
2049,818513.594555,975907.336515,857040.3402,888821.779729,738343.053987,913396.956577
2050,813934.102981,965492.750353,851277.784752,880361.913141,726061.356419,904876.978075
