year,Base case diesel consumed,Modeled residential energy efficiency
2017,85164.9394556,67768.3833792
2018,86204.483918,68807.9278416
2019,87244.0283804,69847.472304
2020,88283.5728428,70887.0167664
2021,90362.6617676,72966.1056912
2022,91402.20623,74005.6501536
2023,92441.7506924,75045.194616
2024,93481.2951548,76084.7390783
2025,95560.3840795,78163.8280031
2026,96599.9285419,79203.3724655
2027,97639.4730043,80242.9169279
2028,98679.0174667,81282.4613903
2029,99718.5619291,82322.0058527
2030,100758.106391,83361.5503151
2031,101797.650854,84401.0947775
2032,102837.195316,85440.6392399
2033,103876.739779,86480.1837023
2034,105955.828703,88559.272627
2035,106995.373166,89598.8170894
2036,108034.917628,90638.3615518
