year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5113.73812353,3323.92978029
2018,5163.82494133,3356.48621187
2019,5219.10700366,3392.41955238
2020,5269.87646837,3425.41970444
2021,5364.11875225,3486.67718896
2022,5412.13980924,3517.89087601
2023,5457.78668061,3547.5613424
2024,5531.15203204,3595.24882082
2025,5589.39771406,3633.10851414
2026,5643.88746732,3668.52685376
2027,5700.13866893,3705.0901348
2028,5765.26290953,3747.42089119
2029,5818.91100576,3782.29215375
2030,5876.84003832,3819.94602491
2031,5922.28540548,3849.48551356
