year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,87743.0,74124.3025252
2018,87741.0,74122.3025252
2019,87739.0,74120.3025252
2020,86614.0,72995.3025252
2021,86611.0,72992.3025252
2022,86609.0,72990.3025252
2023,85484.0,71865.3025252
2024,85481.0,71862.3025252
2025,85479.0,71860.3025252
2026,84353.0,70734.3025252
2027,84351.0,70732.3025252
2028,84349.0,70730.3025252
2029,84348.0,70729.3025252
2030,83223.0,69604.3025252
2031,83221.0,69602.3025252
2032,83218.0,69599.3025252
2033,82092.0,68473.3025252
2034,82089.0,68470.3025252
2035,82086.0,68467.3025252
2036,80960.0,67341.3025252
