year,annotation,Diesel Price ($/gal),Heating Fuel ($/gal)
2000,,,1.75
2004,,1.65,1.89
2005,,2.29,3.12
2006,,2.3,2.9
2008,,3.52,5.56
2009,,3.66,6.21
2010,,3.18,4.89
2011,,3.7,5.94
2012,,4.28,5.68
2013,,4.45,5.81
2014,,,5.75
2016,,1.97,3.15
2017,,2.41,3.59
2018,,2.75,3.93
2019,,3.23,4.41
2020,,3.45,4.63
2021,,3.61,4.79
2022,,3.73,4.91
2023,,3.81,4.99
2024,,3.88,5.06
2025,,3.96,5.14
2026,,4.07,5.25
2027,,4.15,5.33
2028,,4.22,5.4
2029,,4.31,5.49
2030,,4.37,5.55
2031,,4.48,5.66
2032,,4.58,5.76
2033,,4.69,5.87
2034,,4.8,5.98
2035,,4.87,6.05
2036,,4.98,6.16
2037,,5.05,6.23
2038,,5.17,6.35
2039,,5.26,6.44
2040,,5.38,6.56
