year,Base case cost,Spiridon (spiridon river),"Larsen bay (unnamed stream, site #1) -- unnamed creek, 1","Larsen bay (unnamed stream, site #3) -- unnamed creek, 3"
2021,36937.7401239,15846319.2446,392226.765299,234308.154076
2022,37711.1215931,15517950.9504,383378.761754,228960.09634
2023,37591.513005,15200466.3864,374377.797388,223299.726689
2024,37336.6868155,14891172.4414,365562.190051,217729.525204
2025,37624.0261985,14588392.1149,357328.331392,212689.211639
2026,37677.3546588,14288998.8156,348619.153374,207165.005238
2027,37406.6635904,13999295.4145,340170.7374,201769.896929
2028,37523.4515661,13717650.6705,332413.88384,196977.895425
2029,37798.5812915,13440403.972,324700.489724,192204.860358
2030,37792.3357367,13172427.1653,317278.847439,187596.671595
2031,38197.7838486,12905526.8535,309731.437799,182903.66025
2032,37934.3520498,12645033.4259,301804.232764,177748.521817
2033,37702.5732489,12389322.3283,293917.511719,172594.562466
2034,37417.1845357,12139263.7764,286120.922417,167472.04625
2035,36776.1232958,11898791.6757,278662.475184,162547.190091
2036,37000.02875,11660256.6474,271652.635435,158098.140537
2037,36289.5183055,11430471.1831,264395.691576,153264.159907
2038,35892.0105526,11200726.3039,256890.680251,148232.696012
2039,35875.9409814,10979708.2285,250309.8568,144010.917329
2040,35383.3974749,10759885.6987,242962.153971,139033.731721
2041,33416.8884172,10556531.6288,235922.565281,134065.442267
2042,32105.8823787,10358553.0829,229657.379916,129823.010061
2043,31450.3793595,10165839.4336,224163.811101,126304.786148
2044,30139.373321,9976971.64539,218128.131468,122198.154256
2045,28828.3672826,9792499.71953,212203.186378,118157.044849
2046,27517.3612441,9612320.62763,206386.380481,114179.922237
2047,26206.3552057,9436333.75714,200675.179286,110265.286743
2048,24895.3491672,9264440.85077,195067.107628,106411.673793
2049,24239.846148,9097201.46127,190215.251478,103273.156219
2050,22273.3370903,8932555.37571,184150.741321,98881.8282629
2051,22273.3370903,8773688.60199,180148.787127,96513.8410604
2052,22273.3370903,8618545.26765,176240.628718,94201.3535486
2053,22273.3370903,8467038.10644,172424.067803,91943.0649812
2054,22273.3370903,8319081.89334,168696.95751,89737.7050373
2055,22273.3370903,8174593.40406,165057.201367,87584.0332184
2056,22273.3370903,8033491.36382,161502.752009,85480.8380838
2057,22273.3370903,7895696.40222,158031.610048,83426.9365789
2058,22273.3370903,7761131.01129,154641.823008,81421.1734091
2059,22273.3370903,7629719.49571,151331.484077,79462.4202987
2060,22273.3370903,7501387.93709,148098.731204,77549.5754579
2061,22273.3370903,7376064.15042,144941.746002,75681.5629336
2062,22273.3370903,7253677.63899,141858.752616,73857.3319378
2063,22273.3370903,7134159.56176,138848.016895,72075.8563608
2064,22273.3370903,7017442.68978,135907.845301,70336.1341226
2065,22273.3370903,6903461.37051,133036.584004,68637.1866396
2066,22273.3370903,6792151.48579,130232.617828,66978.058199
2067,22273.3370903,6683450.42853,127494.369661,65357.8156117
2068,22273.3370903,6577297.05143,124820.299163,63775.5474471
2069,22273.3370903,6473631.64519,122208.90222,62230.3637086
2070,22273.3370903,6372395.89653,119658.709883,60721.3952086
