year,Base case diesel consumed,Spiridon (spiridon river),"Larsen bay (unnamed stream, site #1) -- unnamed creek, 1","Larsen bay (unnamed stream, site #3) -- unnamed creek, 3"
2021,10232.0609761,0.0,0.0,0.0
2022,10110.2202663,-121.840709894,-121.840709894,-121.840709894
2023,9866.53884647,-365.522129681,-365.522129681,-365.522129681
2024,9622.85742668,-609.203549468,-609.203549468,-609.203549468
2025,9501.01671679,-731.044259361,-731.044259361,-731.044259361
2026,9257.335297,-974.725679148,-974.725679148,-974.725679148
2027,9013.65387721,-1218.40709894,-1218.40709894,-1218.40709894
2028,8891.81316732,-1340.24780883,-1340.24780883,-1340.24780883
2029,8769.97245743,-1462.08851872,-1462.08851872,-1462.08851872
2030,8648.13174753,-1583.92922862,-1583.92922862,-1583.92922862
2031,8526.29103764,-1705.76993851,-1705.76993851,-1705.76993851
2032,8282.60961785,-1949.4513583,-1949.4513583,-1949.4513583
2033,8038.92819806,-2193.13277808,-2193.13277808,-2193.13277808
2034,7795.24677828,-2436.81419787,-2436.81419787,-2436.81419787
2035,7551.56535849,-2680.49561766,-2680.49561766,-2680.49561766
2036,7429.7246486,-2802.33632755,-2802.33632755,-2802.33632755
2037,7186.04322881,-3046.01774734,-3046.01774734,-3046.01774734
2038,6942.36180902,-3289.69916713,-3289.69916713,-3289.69916713
2039,6820.52109913,-3411.53987702,-3411.53987702,-3411.53987702
2040,6576.83967934,-3655.22129681,-3655.22129681,-3655.22129681
2041,6211.31754966,-4020.74342649,-4020.74342649,-4020.74342649
2042,5967.63612987,-4264.42484627,-4264.42484627,-4264.42484627
2043,5845.79541998,-4386.26555617,-4386.26555617,-4386.26555617
2044,5602.11400019,-4629.94697595,-4629.94697595,-4629.94697595
2045,5358.43258041,-4873.62839574,-4873.62839574,-4873.62839574
2046,5114.75116062,-5117.30981553,-5117.30981553,-5117.30981553
2047,4871.06974083,-5360.99123532,-5360.99123532,-5360.99123532
2048,4627.38832105,-5604.6726551,-5604.6726551,-5604.6726551
2049,4505.54761115,-5726.513365,-5726.513365,-5726.513365
2050,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2051,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2052,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2053,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2054,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2055,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2056,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2057,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2058,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2059,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2060,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2061,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2062,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2063,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2064,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2065,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2066,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2067,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2068,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2069,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
2070,4140.02548147,-6092.03549468,-6092.03549468,-6092.03549468
