year,Base case cost,Modeled biomass for heat (cordwood)
2017,64912.032104,86442.421563
2018,70213.522104,89995.6582244
2019,77343.112104,94909.2041242
2020,80816.502104,97127.7160573
2021,83193.032104,98543.3967777
2022,85021.132104,99561.5683383
2023,86300.802104,100182.043123
2024,87214.852104,100539.809304
2025,88494.522104,101175.37352
2026,90139.812104,102088.561038
2027,91419.482104,102738.515658
2028,92333.532104,103125.070739
2029,93796.012104,103923.920507
2030,94710.062104,104323.877696
2031,96355.352104,105270.986851
2032,,
2033,,
2034,,
2035,,
2036,,
