year,Base case cost,Modeled water and wastewater efficiency
2017,46026.9055308,35498.3711311
2018,49193.158448,37509.3840303
2019,53451.9705245,40251.0752282
2020,55526.5802947,41539.0968126
2021,56945.9349503,42392.4431644
2022,58037.7394888,43029.5954197
2023,58801.9010929,43450.3411828
2024,59347.6906919,43727.6074435
2025,60112.0037771,44152.4456116
2026,61094.9057852,44724.8851718
2027,61859.3951863,45153.547603
2028,62405.4529738,45438.419734
2029,63279.5456064,45944.5680595
2030,63825.8337253,46233.7935116
2031,64809.2507523,46815.7368997
