year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,18281.0,13040.7530921
2018,18281.0,13040.7530921
2019,18281.0,13040.7530921
2020,18281.0,13040.7530921
2021,18281.0,13040.7530921
2022,18281.0,13040.7530921
2023,18281.0,13040.7530921
2024,18281.0,13040.7530921
2025,18281.0,13040.7530921
2026,18281.0,13040.7530921
2027,18281.0,13040.7530921
2028,18281.0,13040.7530921
2029,18281.0,13040.7530921
2030,18281.0,13040.7530921
2031,18281.0,13040.7530921
2032,,
2033,,
2034,,
2035,,
2036,,
