year,Base case cost,Modeled biomass for heat (pellet)
2017,64912.032104,70207.2989434
2018,70213.522104,73833.5030929
2019,77343.112104,78767.4297604
2020,80816.502104,81096.767537
2021,83193.032104,82647.1383778
2022,85021.132104,83809.6833535
2023,86300.802104,84584.3228538
2024,87214.852104,85101.3866647
2025,88494.522104,85882.4289866
2026,90139.812104,86927.3756759
2027,91419.482104,87714.5242047
2028,92333.532104,88243.8038638
2029,93796.012104,89167.1832552
2030,94710.062104,89702.1497624
2031,96355.352104,90761.4902473
2032,,
2033,,
2034,,
2035,,
2036,,
