year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,18281.0,13517.1391747
2018,18281.0,13517.1391747
2019,18281.0,13517.1391747
2020,18281.0,13517.1391747
2021,18281.0,13517.1391747
2022,18281.0,13517.1391747
2023,18281.0,13517.1391747
2024,18281.0,13517.1391747
2025,18281.0,13517.1391747
2026,18281.0,13517.1391747
2027,18281.0,13517.1391747
2028,18281.0,13517.1391747
2029,18281.0,13517.1391747
2030,18281.0,13517.1391747
2031,18281.0,13517.1391747
2032,,
2033,,
2034,,
2035,,
2036,,
