year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,2968626
2004,,0,0,0,0,0,2974211
2005,,0,0,0,0,0,2928796
2006,,0,0,0,0,0,2917127
2007,,0,0,0,0,0,2911891
2008,,0,0,0,0,0,3014929
2009,,0,0,0,0,0,3122843
2010,,0,0,0,0,0,8919586
2011,,0,0,0,0,0,3220283
2012,,0,0,0,0,0,3651117
2013,,0,0,0,0,0,3210594
2014,start of forecast,0,0,0,0,0,3170000
2015,,0,0,0,0,0,3164000
2016,,0,0,0,0,0,3159000
2017,,0,0,0,0,0,3153000
2018,,0,0,0,0,0,3148000
2019,,0,0,0,0,0,3142000
2020,,0,0,0,0,0,3136000
2021,,0,0,0,0,0,3130000
2022,,0,0,0,0,0,3124000
2023,,0,0,0,0,0,3118000
2024,,0,0,0,0,0,3111000
2025,,0,0,0,0,0,3105000
2026,,0,0,0,0,0,3098000
2027,,0,0,0,0,0,3092000
2028,,0,0,0,0,0,3085000
2029,,0,0,0,0,0,3078000
2030,,0,0,0,0,0,3071000
2031,,0,0,0,0,0,3064000
2032,,0,0,0,0,0,3057000
2033,,0,0,0,0,0,3049000
2034,,0,0,0,0,0,3042000
2035,,0,0,0,0,0,3034000
2036,,0,0,0,0,0,3026000
2037,,0,0,0,0,0,3018000
2038,,0,0,0,0,0,3010000
2039,,0,0,0,0,0,3001000
2040,,0,0,0,0,0,2993000
