year,Base case cost,Modeled diesel efficiency
2019,799408.055352,1006878.68332
2020,844043.057094,1040890.08057
2021,874312.588253,1061995.84687
2022,896275.208888,1075700.15733
2023,911214.168966,1083166.08061
2024,922734.944125,1087667.88215
2025,936850.469675,1094668.50781
2026,954442.404701,1104966.1855
2027,969115.338185,1112743.70173
2028,980480.796144,1117644.77006
2029,996506.493993,1126909.71302
2030,1005091.49659,1129534.69714
2031,1022552.31432,1140350.00011
2032,1040186.34064,1151441.31623
2033,1057224.45291,1162106.66459
2034,1075980.22412,1174446.57995
2035,1086172.07285,1179111.52026
2036,1104223.16833,1191029.05166
2037,1114204.69852,1195715.90889
2038,1131796.30605,1207423.84468
