year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,239124.02,2459.51,265184.75,150102.21
2018,238744.82,2474.5,265184.75,153402.18
2019,238289.78,2489.8,265184.75,157802.15
2020,237834.74,2505.34,265184.75,161102.12
2021,237379.7,2521.16,265184.75,165502.08
2022,236924.66,2537.35,265184.75,168802.05
2023,236469.62,2553.99,265184.75,173202.02
2024,235938.74,2571.04,265184.75,177601.98
2025,235483.69,2588.35,265184.75,182001.94
2026,234952.81,2605.84,265184.75,186401.9
2027,234497.77,2623.52,265184.75,190801.87
2028,233966.89,2641.47,265184.75,195201.83
2029,233436.01,2659.98,265184.75,199601.79
2030,232905.13,2678.8,265184.75,204001.76
2031,232374.25,2697.88,265184.75,208401.72
2032,231843.37,2717.14,265184.75,213901.67
2033,231236.65,2736.71,265184.75,218301.64
2034,230705.76,2756.69,265184.75,222701.6
2035,230099.04,2777.13,265184.75,228201.55
2036,229492.32,2798.11,265184.75,233701.51
2037,228885.6,2819.63,265184.75,238101.47
2038,228278.88,2841.58,265184.75,243601.42
2039,227596.32,2863.89,265184.75,249101.38
2040,226989.6,2886.61,265184.75,254601.33
