year,Base case diesel consumed,Modeled solar power
2020,237834.739111,234078.660688
2021,237379.698156,233653.668361
2022,236924.657201,233228.435644
2023,236469.616246,232802.964462
2024,235938.735132,232301.416562
2025,235483.694177,231875.474155
2026,234952.813063,231373.458801
2027,234497.772108,230947.052681
2028,233966.890994,230444.577322
2029,233436.00988,229941.874717
2030,232905.128766,229438.946684
2031,232374.247652,228935.795027
2032,231843.366538,228432.421534
2033,231236.645264,227852.987821
2034,230705.76415,227349.175966
2035,230099.042877,226769.307398
2036,229492.321604,226189.224009
2037,228885.600331,225608.927517
2038,228278.879057,225028.419626
2039,227596.317625,224371.861869
