year,Base case cost,Modeled solar power
2020,844043.057094,863686.602447
2021,874312.588253,892860.233562
2022,896275.208888,913878.49042
2023,911214.168966,928001.909443
2024,922734.944125,938773.418783
2025,936850.469675,952121.58045
2026,954442.404701,968905.742734
2027,969115.338185,982837.2179
2028,980480.796144,993522.787754
2029,996506.493993,1008814.37596
2030,1005091.49659,1016791.99025
2031,1022552.31432,1033528.45132
2032,1040186.34064,1050451.1166
2033,1057224.45291,1066796.75011
2034,1075980.22412,1084854.86935
2035,1086172.07285,1094482.54894
2036,1104223.16833,1111869.3369
2037,1114204.69852,1121315.98265
2038,1131796.30605,1138276.7083
2039,1144550.84547,1150476.71298
