year,Base case diesel consumed,Modeled diesel efficiency
2019,21396.9707162,19451.7915602
2020,21396.9707162,19451.7915602
2021,21452.2600462,19502.0545875
2022,21452.2600462,19502.0545875
2023,21452.2600462,19502.0545875
2024,21452.2600462,19502.0545875
2025,21452.2600462,19502.0545875
2026,21452.2600462,19502.0545875
2027,21507.5493762,19552.3176147
2028,21507.5493762,19552.3176147
2029,21507.5493762,19552.3176147
2030,21507.5493762,19552.3176147
2031,21507.5493762,19552.3176147
2032,21507.5493762,19552.3176147
2033,21507.5493762,19552.3176147
2034,21507.5493762,19552.3176147
2035,21507.5493762,19552.3176147
2036,21507.5493762,19552.3176147
2037,21507.5493762,19552.3176147
2038,21507.5493762,19552.3176147
