year,Base case cost,Modeled non-residential energy efficiency
2017,447088.090999,443877.106775
2018,469346.721736,463908.147602
2019,499643.191349,491563.563969
2020,513863.983209,504041.152687
2021,523756.707981,512448.861984
2022,531176.251559,518540.131946
2023,536122.613945,522314.442479
2024,540450.681033,525525.258345
2025,545397.043419,529341.39865
2026,551579.996401,534347.036569
2027,557144.654085,538787.726412
2028,561472.721173,542078.348677
2029,567037.378857,546557.082473
2030,570128.855348,548715.541925
2031,576930.103629,554399.87238
