year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,25075.629446,407.747307921
2018,25080.6997918,407.829755298
2019,25085.8784944,407.913964631
2020,25091.0661377,407.998319347
2021,25096.204807,408.081877711
2022,25101.3900483,408.166193369
2023,25106.6253312,408.251322737
2024,25112.0076696,408.338843332
2025,25117.4904915,408.427997858
2026,25123.0932797,408.519103121
2027,25128.6723149,408.609822143
2028,25134.2386729,408.700335024
2029,25140.6770887,408.805028177
2030,25146.9476317,408.906991601
2031,25152.9877166,409.005207614
