year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,1888860.0,1645589.70028
2018,1882405.0,1639134.70028
2019,1881119.0,1637848.70028
2020,1878536.0,1635265.70028
2021,1875957.0,1632686.70028
2022,1873375.0,1630104.70028
2023,1870795.0,1627524.70028
2024,1868209.0,1624938.70028
2025,1864338.0,1621067.70028
2026,1860466.0,1617195.70028
2027,1855304.0,1612033.70028
2028,1850141.0,1606870.70028
2029,1846272.0,1603001.70028
2030,1842396.0,1599125.70028
2031,1844981.0,1601710.70028
2032,1837240.0,1593969.70028
2033,1832076.0,1588805.70028
2034,1826915.0,1583644.70028
2035,1824328.0,1581057.70028
2036,1821746.0,1578475.70028
