year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,12819.8983888,8332.93395271
2018,12781.1973969,8307.77830802
2019,12777.6776527,8305.49047424
2020,12761.6984456,8295.10398961
2021,12749.2875681,8287.03691929
2022,12734.485208,8277.41538522
2023,12720.0904257,8268.05877669
2024,12700.5401897,8255.35112329
2025,12680.4501156,8242.29257513
2026,12656.6918418,8226.84969715
2027,12628.1479034,8208.29613719
2028,12597.9250686,8188.65129457
2029,12578.5259872,8176.04189169
2030,12553.0024429,8159.45158787
2031,12571.4676043,8171.45394283
